university_name,academic_calendar,rank,file
Jamestown College,semester,41,0173.txt
Northwestern State University of Louisiana,semester,83,0366.txt
Towson University,semester,46,0617.txt
College of William and Mary,semester,31,0955.txt
Concordia University Chicago,semester,92,0969.txt
Lander University,semester,31,0200.txt
Syracuse University,semester,55,0573.txt
George Washington University,semester,51,0104.txt
Shepherd University,semester,44,0477.txt
Georgia Institute of Technology,semester,35,0106.txt
Woodbury University,semester,68,0894.txt
Westmont College,semester,99,0842.txt
Georgetown University,semester,21,0103.txt
Santa Fe University of Art and Design,semester,80,0467.txt
Drake University,semester,3,1011.txt
Freed-Hardeman University,semester,39,0092.txt
Morningside College,semester,27,0326.txt
Barnard College,semester,26,0046.txt
Catawba College,semester,15,0907.txt
St. Louis University,semester,86,0537.txt
St. Joseph's College,semester,25,0532.txt
Harvey Mudd College,semester,18,0136.txt
Rollins College,semester,1,0450.txt
Montana Tech of the University of Montana,semester,10,0295.txt
Denison University,semester,51,1001.txt
Wake Forest University,semester,25,0806.txt
Piedmont College,semester,69,0409.txt
New York University,semester,33,0347.txt
Macalester College,semester,26,0232.txt
Rensselaer Polytechnic Institute,semester,41,0434.txt
New England College,semester,31,0342.txt
Tulane University,semester,51,0626.txt
Virginia Tech,semester,69,0802.txt
Valparaiso University,semester,5,0792.txt
Columbia College SC,semester,56,0962.txt
Brigham Young University--Idaho,semester,21,0590.txt
Virginia Union University,semester,64,0803.txt
