query_id,query_text,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,error
S1,"SELECT area, city_name, gdp FROM city",True,cache_hit,0.08058357238769531,29,0,0,0,0.5977011494252874,0.5977011494252874,0.5977011494252874,29,28,False,
S2,"SELECT nba_team, name, own_year FROM owner",True,cache_hit,0.10858726501464844,16,0,0,0,0.7291666666666666,0.7291666666666666,0.7291666666666666,16,15,False,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78",True,cache_hit,0.078826904296875,0,0,0,0,0.0,0.0,0.0,1,0,False,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642",True,row_delta,8.856629133224487,1,20224,605,20829,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,False,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'",True,row_delta,1.1673433780670166,14,950,38,988,0.6896551724137931,0.7142857142857143,0.6666666666666666,15,13,False,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66",True,row_delta,0.9018459320068359,5,950,38,988,0.6666666666666666,0.9333333333333332,0.5185185185185185,9,5,False,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0",True,row_delta,1.4137134552001953,3,1623,111,1734,0.012096774193548387,0.25,0.006198347107438017,121,1,False,
F14,"SELECT position, nationality, age FROM player WHERE age < 91",True,cache_hit,0.19885730743408203,65,0,0,0,0.32984293193717273,0.48461538461538467,0.25,126,58,False,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '",True,row_delta,3.9742159843444824,30,10691,417,11108,0.6172839506172839,0.5555555555555555,0.6944444444444445,24,23,False,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989",True,cache_hit,0.06691718101501465,24,0,0,0,0.5102040816326531,0.5208333333333333,0.5,25,24,False,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position",True,cache_hit,0.0984809398651123,17,0,0,0,0.2,0.11764705882352941,0.6666666666666666,3,2,True,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position",True,cache_hit,0.11029982566833496,17,0,0,0,0.17626710297464462,0.10368653116155566,0.5875570099154821,3,2,True,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name",True,join_alignment,0.8200359344482422,89,0,0,0,0.36158192090395486,0.3595505617977528,0.36363636363636365,88,69,False,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name",True,join_alignment,0.3822014331817627,89,0,0,0,0.6101694915254237,0.6067415730337078,0.6136363636363635,88,69,False,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position",True,join_alignment,0.3118138313293457,14,0,0,0,0.23529411764705882,0.14285714285714285,0.6666666666666666,3,2,True,
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position",True,join_alignment,1.4351742267608643,6,136,7,143,0.375,0.25,0.75,2,2,True,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality",True,row_delta,0.9795622825622559,1,950,38,988,0.4299913569576491,0.8599827139152982,0.28666090463843275,3,1,True,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality",True,row_delta,12.851787567138672,20,31205,1422,32627,0.2933559594068179,0.31535765636232926,0.2742240490107211,23,7,True,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality",True,row_delta,1.6178455352783203,11,1623,129,1752,0.42857142857142855,0.2727272727272727,1.0,3,3,True,
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality",True,row_delta,20.966665983200073,1,93024,2104,95128,0.0,0.0,0.0,1,0,True,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality",True,row_delta,0.43730807304382324,2,0,0,0,0.6000000000000001,0.75,0.5,3,2,True,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team",True,cache_hit,0.08311319351196289,0,0,0,0,0.0,0.0,0.0,29,0,True,
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality",True,row_delta,4.076654672622681,1,10776,413,11189,1.0,1.0,1.0,1,1,True,
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0",True,join_alignment,0.2467794418334961,26,0,0,0,0.36190476190476195,0.2923076923076923,0.475,16,11,False,
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522",True,join_alignment,1.1206250190734863,2,136,7,143,0.0,0.0,0.0,0,0,False,
