university_name,year_founded,setting,file
Barton College,1902,urban,0047.txt
Union University,1823,urban,0630.txt
Massachusetts Maritime Academy,1891,Suburban,0255.txt
Davis and Elkins College,1904,rural,0997.txt
Hampshire College,1965,rural,0128.txt
Oklahoma Baptist University,1910,urban,0384.txt
Hastings College,1882,Suburban,0137.txt
Williams College,1793,rural,0884.txt
Converse College,1889,urban,0975.txt
Hamline University,1854,urban,0126.txt
Tabor College,1908,rural,0574.txt
New College of Florida,2001,suburban,0341.txt
Bethel University,1871,Suburban,0319.txt
