university_name,college_category,academic_calendar,in_state_tuition_fees,out_of_state_tuition_fees,institutional_control,religious_affiliation,setting,total_undergraduate_enrollment,year_founded,rank,campus_size,college_town,file
College of William and Mary,,semester,"$12,188","$33,212",public,,suburban,5836,1693.0,31,"1,200 acres",Williamsburg,955
Knox College,,trimester-based,,,private,,urban,1470,1837.0,75,82 acres,Galesburg,193
Montana Tech of the University of Montana,,Semester,"$5,876","$16,445",Public,,Urban,1560,1893.0,10,108 acres,,295
Barton College,,4-1-4-based,,,private,,urban,1150,1902.0,42,76 acres,,47
Elms College,,semester,,,private,,suburban,,1928.0,36,,,946
Union College,,trimester-based,,,private,,urban,2190,1795.0,41,100,,628
St. Scholastica,Regional Universities (Midwest),semester,,,private,,suburban,2821,1912.0,24,186 acres,,951
"Cornell College ","Private Institution ","other-based ","$31,050 "," ",,,"Rural ",1133,1853.0,81,"129 acres ",,978
Macalester College,,semester,,,private,,urban,1996,1874.0,26,53 acres,,232
Union University,,4-1-4-based,,,private,,urban,2780,1823.0,15,360 acres,,630
Morningside College,,semester,,"$22,980",private,,suburban,1239,1894.0,27,68 acres,,326
Kutztown University of Pennsylvania,,semester,7732,16438,public,,rural,9614,1866.0,117,325 acres,,194
Auburn University--Montgomery,Regional Universities,semester,"$6,730","$19,090",public,,suburban,4678,1967.0,74,500 acres,,31
Columbia College SC,,semester,,,private,,urban,1189,1854.0,56,53 acres,"Columbia, South Carolina",962
Monmouth University,,semester-based,,,private,,suburban,4681,1933.0,40,156 acres,"West Long Branch, New Jersey",291
Massachusetts Maritime Academy,Regional Colleges (North),4-1-4-based,"$6,609","$20,259",Public,,Suburban,1185,1891.0,13,55 acres,,255
Luther College,,4-1-4,,,private,,rural,2519,1861.0,81,200 acres,,227
Brigham Young University--Idaho,,,"$3,580",,private,,urban,,1888.0,21,,,590
Valparaiso University,,semester-based,,,private,,urban,2888,1859.0,5,320 acres,,792
Rollins College,,semester-based,"$37,640",,private,,suburban,1773,1885.0,1,70 acres,"Winter Park, Florida",450
University of Science and Arts of Oklahoma,Regional Colleges (West),trimester,"$3,552","$8,448",public,,rural,1087,1908.0,14,75 acres,,742
Concordia University Chicago,,semester,,,private,,suburban,1270,1864.0,92,40,,969
Northwestern State University of Louisiana,,semester-based,"$3,932","$10,618",public,,rural,8141,1884.0,83,916 acres,,366
University of California--Davis,,quarter-based,"$11,984","$34,863",public,,urban,24655,1905.0,39,"5,200 acres",Davis,646
Lander University,,Semester-based,"$9,154","$17,311",Public,,Suburban,,,31,100 acres,,200
Southeastern University,,semester,,,private,,suburban,1665,1935.0,53,88 acres,,489
Davis and Elkins College,,4-1-4-based,,,private,,rural,710,1904.0,27,170,,997
Concordia College--Moorhead,,semester-based,,,private,,urban,2788,1891.0,137,113 acres,Moorhead,965
University of California--Riverside,,quarter-based,"$11,022","$33,901",public,,urban,16996,1954.0,94,"1,200 acres",,649
Wake Forest University,,semester-based,,,private,,suburban,4569,1834.0,25,340 acres,Winston-Salem,806
University of South Alabama,,semester,"$7,180",,public,,suburban,11408,1963.0,52,"1,224 acres",,745
Hampshire College,,4-1-4-based,,,private,,rural,1463,1965.0,119,800 acres,Amherst,128
College of the Atlantic,,trimester-based,,,private,,rural,336,1969.0,131,35 acres,,952
Tulane University,,semester,,,private,,urban,7210,1834.0,51,110 acres,,626
Catawba College,,semester-based,,,private,,suburban,1324,1851.0,15,276 acres,,907
Oklahoma Baptist University,Regional Colleges (West),4-1-4-based,,"$18,670",private,,urban,1714,1910.0,2,200 acres,,384
California State University--Fresno,Regional Universities (West),semester,"$4,672","$15,832",public,,urban,18216,1911.0,44,327 acres,,859
New York University,,semester,,"$38,765",private,,urban,21638,,33,,,347
University of Central Arkansas,,semester,6698,11903,public,,suburban,10146,1907.0,47,262,,653
St. Louis University,,semester-based,"$32,656",,private,,urban,8119,1818.0,86,235 acres,St. Louis,537
"Hollins University ",,"4-1-4-based ",,,"Private ",,"Suburban ","796 ",1842.0,"105 ","475 acres ",,149
Hastings College,,4-1-4-based,,"$22,620",Private,,Suburban,1104,1882.0,174,109 acres,,137
Syracuse University,,semester,,"$36,302",private,,urban,13736,1870.0,55,200 acres,Syracuse,573
Williams College,,4-1-4-based,,,private,,rural,2067,1793.0,1,450 acres,,884
"Lewis University ",,semester,,,private,,suburban,4079,1932.0,43,135 acres,,214
Towson University,Regional Universities (North),semester-based,"$7,656","$19,114",public,,suburban,17148,1866.0,46,328 acres,,617
Santa Fe University of Art and Design,,semester,,,private,,urban,195,1874.0,80,60 acres,,467
University of North Carolina--Wilmington,Regional Universities,semester,$5154,$16036,public,,urban,11197,1947.0,13,661 acres,,723
University of Kansas,,semester,"$8,732","$21,539",public,,urban,21066,1866.0,104,"1,000 acres",Lawrence,681
Georgia Institute of Technology,,semester,"$8,716","$26,926",public,,urban,13515,1885.0,35,400 acres,,106
Denison University,,semester,,,private,,suburban,2267,1831.0,51,850,Granville,1001
Briar Cliff University,Regional Colleges (Midwest),trimester-based,,,private,,urban,1079,1930.0,29,70 acres,,588
"St. Norbert College ",,"semester ",,,"private ",,"suburban ","2113 ",1898.0,"127 ","93 acres ",,546
