name,country,region,latitude,longitude,altitude,area,file
View of the World from 9th Avenue,,,,,,,View_of_the_World_from_9th_Avenue
"Hurricane Alma, Trudy, Rachel, Boris, Cristina, Douglas, Aka, Simon, Hernan, Marie, Polo, Elida, Genevieve, Odile, Norbert, Julio, Kenna, Iselle, Fausto, Boris, Diana, Lowell, Genevieve, Marie, Norbert, Polo, Simon, Trudy, Vance",,,,,,,1990_Pacific_hurricane_season
Aerith Gainsborough,,,,,,,Aerith_Gainsborough
Josepha Petrick Kemarre,Australia,Central Australia,,,,,Josepha_Petrick_Kemarre
1933 Treasure Coast hurricane,United States,Florida,,,,,1933_Treasure_Coast_hurricane
"""Kiss You""",,,,,,,Kiss_You_(_One_Direction_song_)
Underneath,,,,,,,Underneath_(_The_X_@-@_Files_)
World War I Memorial,United States,East Providence,,,,,"World_War_I_Memorial_(_East_Providence_,_Rhode_Island_)"
John Crepps Wickliffe Beckham,,,,,,,J._C._W._Beckham
Frank Underwood,,,,,,,Chapter_1_(_House_of_Cards_)
Hadji Ali,,,,,,,Hadji_Ali
M-122,United States,St. Ignace,,,,,M_@-@_122_(_Michigan_highway_)
"Arthur Howey "" Art "" Ross",Canada,,,,,,Art_Ross
"""Training Day""","""empty""","""empty""","""empty""","""empty""","""empty""","""empty""",Training_Day_(_The_Office_)
"Richard Gale ""Dick"" Rifenburg",,,,,,,Dick_Rifenburg
"Domnall mac Murchada, Domnall mac Murchada meic Diarmata, King of Dublin",,,,,,,Domnall_mac_Murchada
"Marshall Herff Applewhite Jr., Bo, Do",,,,,,,Marshall_Applewhite
"""Monty Can't Buy Me Love""","""United States""",,,,,,Monty_Can_'t_Buy_Me_Love
Partington,England,Greater Manchester,53.42,-2.43,20,,Partington
Vasco da Gama,,,,,,,Portuguese_ironclad_Vasco_da_Gama
"Wrapped in Red, Greatest Hits – Chapter One, The Smoakstack Sessions Vol. 2, Kelly Clarkson's Cautionary Christmas Music Tale",,,,,,,Wrapped_in_Red
Little Gidding,,Huntingdonshire,,,,,Little_Gidding_(_poem_)
Christopher Gore,,Massachusetts,,,,,Christopher_Gore
"Dürenstein, Dürrenstein, Dürnstein, Diernstein, Gefecht bei Dürrenstein",Austria,,,,,,Battle_of_Dürenstein
Boy @-@ Scoutz ' n the Hood,United States,,,,,,Boy_@-@_Scoutz_'_n_the_Hood
Calvin McCarty,Canada,,,,,,Calvin_McCarty
Imagine,,,,,,,Imagine_(_John_Lennon_song_)
"US Highway 2, Great Lakes Circle Tours, Upper Twin Falls Bridge",United States,"Michigan, Washington",,,,,U.S._Route_2_in_Michigan
Crown Fountain,United States,Illinois,,,,,Crown_Fountain
Hope Highway,U.S. state of Alaska,Kenai Peninsula Borough,,,,,Hope_Highway
oxaziridine,,,,,,,Oxaziridine
"Pioneer 10, Pioneer 11, Voyager 1, Voyager 2, Ulysses, Cassini, New Horizons, Galileo, Juno, JUICE",,,,,,,Exploration_of_Jupiter
"Typhoon Imbudo, Typhoon Harurot, ","Philippines, China","Cagayan Valley, Isabela province, Luzon, Guangdong",,,,,Typhoon_Imbudo
