title,release_year,genre,director,cast,duration,production_company,country_of_origin,file
"View of the World from 9th Avenue, A Parochial New Yorker's View of the World, A New Yorker's View of the World, View of the World",1976,,Saul Steinberg,,,,,View_of_the_World_from_9th_Avenue
Aerith Gainsborough,,,,,,Square (now Square Enix),,Aerith_Gainsborough
"""Kiss You""",2012,,,,"3 minutes, four seconds",,,Kiss_You_(_One_Direction_song_)
Underneath,2002,,John Shiban,"Robert Patrick, Annabeth Gish, Gillian Anderson",,,United States,Underneath_(_The_X_@-@_Files_)
The World War I Memorial,,,Pietro Montana,,,,United States,"World_War_I_Memorial_(_East_Providence_,_Rhode_Island_)"
"""Chapter 1"", ""Episode 101""",2013,political thriller drama,David Fincher,"Kevin Spacey, Robin Wright, Kate Mara, Michel Gill, Sakina Jaffrey, Kevin Kilner, Corey Stoll, Kristen Connolly, Rachel Brosnahan, Reed Birney, Jayne Atkinson, Sebastian Arcelus, Boris McGiver, Constance Zimmer",,,United States,Chapter_1_(_House_of_Cards_)
"""Exit Through the Kwik @-@ E @-@ Mart""",2012,,,"Bart, Homer, Shepard Fairey, Ron English, Kenny Scharf, Robbie Conal",,,United States,Exit_Through_the_Kwik_@-@_E_@-@_Mart
M-122,,,,,,,,M_@-@_122_(_Michigan_highway_)
Art Ross,,,,,,,,Art_Ross
"""Training Day""",2011,,Paul Lieberstein,"Will Ferrell, Steve Carell, Ed Helms, John Krasinski, Jenna Fischer, Rainn Wilson",,,United States,Training_Day_(_The_Office_)
Domnall mac Murchada,,,,,,,,Domnall_mac_Murchada
"Heaven's Gate religious group, Anonymous Sexaholics Celibate Church",,,Marshall Herff Applewhite,,,,USA,Marshall_Applewhite
"""Monty Can't Buy Me Love""",1999,,Mark Ervin,"Michael McKean, Hank Azaria",,,United States,Monty_Can_'t_Buy_Me_Love
Vasco da Gama,1876,,,,,,,Portuguese_ironclad_Vasco_da_Gama
Wrapped in Red,2013,,,,,RCA Records,,Wrapped_in_Red
Little Gidding,,,,,,,,Little_Gidding_(_poem_)
Gore Place,1827,,,,,,,Christopher_Gore
"The Battle of Dürenstein, Battle of Dürrenstein, Battle of Dürnstein, and Battle of Diernstein","1805 ",,,,,,,Battle_of_Dürenstein
Boy @-@ Scoutz ' n the Hood,1993,,Dan McGrath,Ernest Borgnine,,,United States,Boy_@-@_Scoutz_'_n_the_Hood
Calvin McCarty,,,,,,,Canada,Calvin_McCarty
"""Imagine""",1971,,John Lennon,John Lennon,3 minutes and 3 seconds,,,Imagine_(_John_Lennon_song_)
Crown Fountain,,,,,,,,Crown_Fountain
The Hope Highway,1928,(empty),(empty),(empty),(empty),(empty),(empty),Hope_Highway
"Juno, Galileo, New Horizons, Voyager 1, Voyager 2, Pioneer 10, Pioneer 11, Ulysses, Cassini, JUICE, Europa Clipper, Europa Orbiter, Jupiter Europa Orbiter, Jupiter Ganymede Orbiter, Human Outer Planets Exploration (HOPE), Artemis Project",1973,,National Aeronautics and Space Administration (NASA),,,,,Exploration_of_Jupiter
S.R. 819,1999,science fiction,Daniel Sackheim,"David Duchovny, Gillian Anderson, Mitch Pileggi, Raymond J. Barry, James Pickens Jr., Nicholas Lea",,,United States,S.R._819
Route 50,,,,,,,,New_Jersey_Route_50
"The Romanian Land Forces ",,,,,,,,Romanian_Land_Forces
The Actor's Children,1910,silent short drama,,"Orilla Smith, Yale Boss, Frank Hall Crane, Nicholas Jordan",,Thanhouser Company,American,The_Actor_'s_Children
"cougar, mountain lion, puma, panther, catamount",,,,,,,,Cougar
Chagas disease,,,,,,,,Chagas_disease
military history of Gibraltar during World War II,,,,,,,,Military_history_of_Gibraltar_during_World_War_II
"Slammiversary, ",2008,,,,,"Total Nonstop Action Wrestling (TNA), ",,Slammiversary_(_2008_)
"""Something Borrowed""",2008,,,"John Barrowman, Eve Myles, Burn Gorman, Naoko Mori, Gareth David-Lloyd, Kai Owen, Collette Brown, Nerys Hughes",,,United Kingdom,Something_Borrowed_(_Torchwood_)
"Sir Hugh Seymour Walpole, CBE",,,,,,,Petrograd,Hugh_Walpole
SR 516,,,,,,,,Washington_State_Route_516
True Blue,1986,dance-pop,,,,Sire Records,United States,True_Blue_(_Madonna_song_)
"The Tower Building of the Little Rock Arsenal, U.S. Arsenal Building",,N/A,N/A,N/A,N/A,N/A,N/A,Tower_Building_of_the_Little_Rock_Arsenal
Polka Party !,1986,,"Rick Derringer ",,,,,Polka_Party_!
The Great Game,1953,,,"Thora Hird, Diana Dors",,,,Tommy_Lawton
Roxas,,,,,,Square Enix,,Roxas_(_Kingdom_Hearts_)
The Same Old Story,2008,science fiction drama,Paul A. Edwards,"Anna Torv, Joshua Jackson, John Noble, Mark Blum, Derek Cecil, Lance Reddick",,,,The_Same_Old_Story
Tupolev Tu-12,,,,,,,Soviet Union,Tupolev_Tu_@-@_12
"Bradley Kent "" Brad "" Stevens",,,,,,,,Brad_Stevens
Tristan,,,,George Fordham,,,,Tristan_(_horse_)
Asahi,,,,,,,,Japanese_battleship_Asahi
Mycena inclinata,,,,,,,,Mycena_inclinata
Sholay,1975,"action, adventure",Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Sanjeev Kumar, Amjad Khan, Hema Malini, Jaya Bhaduri",,,India,Sholay
Highway 36,,,,,,,Ontario,Ontario_Highway_36
Tessa Noël,1992,,,Alexandra Vandernoot (portrayed by Tessa Noël),,,France,Tessa_Noël
Stuart McCall,,,,,,,,Stuart_McCall
Amylostereum,,,,,,,,Amylostereum
Ælfric of Abingdon,,,,,,,,Ælfric_of_Abingdon
The Secret of Monkey Island,1990,,,"Guybrush Threepwood, Carla, Otis, Meathook, Elaine Marley, Stan the Used Boat Salesman, voodoo priestess",,Lucasfilm Games,,The_Secret_of_Monkey_Island
Charmbracelet,2002,,,,,,,Charmbracelet
USS Illinois,,,,,,,United States,USS_Illinois_(_BB_@-@_7_)
T30 Howitzer Motor Carriage (HMC),,,,,,The T30 HMC was produced by the White Motor Company.,United States,T30_Howitzer_Motor_Carriage
Cape lobster,,,,,,,South Africa,Cape_lobster
"""Rockstar 101""",2009,empty (not mentioned in the text),empty (not mentioned in the text),empty (not mentioned in the text),3 minutes and fifty-eight seconds,empty (not mentioned in the text),empty (not mentioned in the text),Rockstar_101
"chess, move advantage, first move",,,,,,,,First_@-@_move_advantage_in_chess
A Month in the Country,1987,,Pat O 'Connor,"Colin Firth, Kenneth Branagh, Natasha Richardson, Patrick Malahide",,,British,A_Month_in_the_Country_(_film_)
Crash Boom Bang!,2006,party game,,"Crash Bandicoot, Coco Bandicoot, Crunch Bandicoot, Pura, Doctor Neo Cortex, Tawna, Pinstripe Potoroo, Fake Crash",,"Dimps, Vivendi Universal Games (Japan), Sierra Entertainment (internationally)",Japan,Crash_Boom_Bang_!
"The invisible rail, Wallace's rail, or drummer rail",,,,,,,Indonesia,Invisible_rail
Osbert de Bayeux,,,,,,,,Osbert_de_Bayeux
"Homarus gammarus, European lobster, common lobster",,,,,,,,Homarus_gammarus
Nazarov cyclization reaction,,,,N/A,N/A,N/A,N/A,Nazarov_cyclization_reaction
1940 Atlantic hurricane season,1940,,,,,,,1940_Atlantic_hurricane_season
Aretusa,,,,,,,,Italian_cruiser_Aretusa
"""2010 Alabama Crimson Tide football team""",,,,,,,,2010_Alabama_Crimson_Tide_football_team
