position,nationality,age,name,id,player.id
power forward,American-born naturalized American,53.0,aaron williams,,
Center,American-born naturalized Jamaican,32.0,andre jamal drummond,,
Backcourt,Canadian,29.0,andrew christian wiggins,,
,American-born naturalized American,55.34520547945205,anthony avent,,
Backcourt,American-born naturalized American,23.0,anthony edwards,,
power forward,American,32.0,anthony marshon davis,,
,American-born naturalized Azerbaijani,31.0,antonius cleveland,,
Shooting Guard,American-Venezuelan,53.0,askia rahman jones,,
,American-born naturalized American,21.0,ausar xlnc thompson,,
,American-born naturalized American,26.0,austin tyler reaves,,
Backcourt,American-born naturalized American,27.0,brandon goodwin,,
Backcourt,American-born naturalized American,23.0,cade parker cunningham,,
Small forward,American-born naturalized American,27.0,caleb martin,,
Backcourt,Bahamian,23.0,"chavano rainer ""buddy"" hield",,
Point Guard,American-born naturalized Azerbaijani,38.0,christopher emmanuel paul,,
Point Guard,American-born naturalized American,27.0,d'angelo russell,,
Forward,American-born naturalized,50.0,derek grimm,,
Backcourt,American-born naturalized Azerbaijani,28.0,devin armani booker,,
Forward,American-born naturalized Haitian-American,27.0,devontae cacok,,
,American-born naturalized Azerbaijani,27.0,donta hall,,
Power Forward,American-born naturalized American,35.0,draymond jamal green,,
Power forward,American-born naturalized Azerbaijani,34.0,drew edward gordon,,
Backcourt,American-born naturalized Hawaiian,31.0,duncan mcbryde robinson,,
Backcourt,American-born naturalized Azerbaijani,43.0,dwayne kenneth schintzius,,
Forward,American-born naturalized Nigerian,25.0,"edrice femi ""bam"" adebayo",,
Power forward,Slovenian,41.0,erazem lorbek,,
,American-born naturalized American,51.0,erick strickland,,
,American-born naturalized American,80.0,garfield smith,,
,American-born naturalized American,-66.0,garry witts garrett david witts,,
forward,Greek and Nigerian,31.0,giannis sina ugo antetokounmpo,,
,,78.0,greg fillmore gregory paul fillmore,,
Backcourt,American-born naturalized American,65.875,guy william rodgers,,
Backcourt,American-born naturalized Cameroonian,24.0,hamidou diallo,,
Forward,American professional basketball player,33.0,harrison bryce jordan barnes,,
Backcourt,American-born naturalized Azerbaijani,63.0,isiah thomas,,
Backcourt,American,22.0,jaden edward dhananjay ivey,,
Power Forward,Nigerian-American,30.0,jahlil okafor,,
Forward,Mexican-American,24.0,jaime jaquez,,
Backcourt,American-born naturalized American,29.0,jalen marquis brunson,,
Shooting Guard,American-born naturalized American,25.0,jamal crawford,,
Shooting guard,African-American,27.0,jaylen marselles brown,,
Forward,American-born naturalized American,27.0,jayson christopher tatum,,
Forward,American-born naturalized American,35.0,jimmy butler,,
Forward,Cameroonian-American,31.0,joel hans embiid,,
Backcourt,American professional basketball coach and former player,72.0,john harding lucas,,
Backcourt,Congolese,23.0,jonathan malangu kuminga,,
Guard,American-born naturalized American,27.0,jordan lee crawford,,
Backcourt,American-born naturalized American,44.0,joseph xavier forte,,
Backcourt,American-born naturalized Azerbaijani,34.0,jrue randall holiday,,
,American-born naturalized American,66.0,"kenneth ""apple"" green",,
Forward,American-born naturalized American,21.0,kermit washington,,
small forward,American-born naturalized American,36.0,kevin wayne durant,,
Forward,American,36.0,kevin wesley love,,
Forward,American-born naturalized American,28.0,kevon grant looney,,
Shooting guard,American-born naturalized Azerbaijani,37.0,kobe bean bryant,,
Backcourt,Greek-American,34.0,kostas papanikolaou,,
Power forward-center,American-born naturalized Azerbaijani,52.0,kurt thomas,,
Backcourt,American-Chinese,31.0,kyle forman anderson,,
Backcourt,American-born naturalized Canadian,39.0,kyle terrell lowry,,
Backcourt,American-born naturalized Australian,33.0,kyrie andrew irving,,
,American-born naturalized American,28.0,lamar brandon stevens,,
Defenceman,Canadian,74.0,larry robinson,,
Forward,American-born naturalized American,36.0,lavoy allen,,
Forward,American,39.0,lebron raymone james,,
Backcourt,American-born naturalized American,26.0,lonzo anderson ball,,
Point Guard,American-born naturalized African American,36.0,magic johnson,,
Forward,American-born naturalized American,23.0,max berning fiedler,,
Backcourt,American-born naturalized American,23.0,michael carter-williams,,
Point Guard,American-born naturalized African-American,62.0,michael jeffrey jordan,,
Backcourt,American-born naturalized Norwegian,48.0,miles julian simon,,
,American,37.0,mychel thompson,,
Forward,American-born naturalized Israeli,40.0,nathaniel thomas huffman,,
Backcourt,Greek-American,34.0,nicholas william calathes,,
Forward,British,25.0,"ogugua ""og"" anunoby",,
small forward,American-born naturalized American,35.0,paul clifton anthony george,,
,American-born naturalized American,51.0,rick hughes,,
Backcourt,American-born naturalized American,37.0,ronald moore,,
Backcourt,American-born naturalized American,53.0,tony lorenzo delk,,
Power Forward,American,25.0,trayce jackson-davis,,
Backcourt,American-born naturalized American,24.0,tyler christopher herro,,
Backcourt,American-born naturalized American,57.0,vernon maxwell,,
,French,21.0,victor wembanyama,,
Power forward,American-born naturalized American,60.583333333333336,walter berry,,
Point Guard,American-born naturalized American,37.0,wardell stephen curry,,
Center,American-born naturalized American,60.0,william bedford,,
Center,American-born naturalized American,27.0,zach collins,,
Backcourt,American-born naturalized Azerbaijani,28.0,zachary thomas lavine,,
