position,nationality,age,name
Frontcourt,American,54,aaron williams
Frontcourt,American,32,andre jamal drummond
,Canadian,30,andrew christian wiggins
Frontcourt,American,56,anthony avent
Backcourt,American,24,anthony edwards
Frontcourt,American,32,anthony marshon davis
,American,31,antonius cleveland
Backcourt,American-Venezuelan,53,askia rahman jones
,American,22,ausar xlnc thompson
,American,27,austin tyler reaves
Backcourt,American,30,brandon goodwin
,American,24,cade parker cunningham
Frontcourt,American,30,caleb martin
,Bahamian,33,"chavano rainer ""buddy"" hield"
Backcourt,American,40,christopher emmanuel paul
Backcourt,American,29,d'angelo russell
Frontcourt,American,51,derek grimm
Backcourt,American,28,devin armani booker
,American,29,devontae cacok
,American-born naturalized Azerbaijani,28,donta hall
Frontcourt,American,35,draymond jamal green
Frontcourt,American,33,drew edward gordon
,American,31,duncan mcbryde robinson
Frontcourt,American,57,dwayne kenneth schintzius
,American,28,"edrice femi ""bam"" adebayo"
Frontcourt,Slovenian,41,erazem lorbek
,American,51,erick strickland
,American,80,garfield smith
,American,66,garry witts garrett david witts
Frontcourt,Greek and Nigerian,31,giannis sina ugo antetokounmpo
Frontcourt,American,78,greg fillmore gregory paul fillmore
,American,90,guy william rodgers
,American,27,hamidou diallo
,American,33,harrison bryce jordan barnes
Backcourt,American,64,isiah thomas
,American,23,jaden edward dhananjay ivey
,Nigerian-American,30,jahlil okafor
,Mexican-American,24,jaime jaquez
,American,29,jalen marquis brunson
,American,45,jamal crawford
Backcourt,American,29,jaylen marselles brown
,American,27,jayson christopher tatum
,American,36,jimmy butler
,Cameroonian-American,31,joel hans embiid
Frontcourt,American,72,john harding lucas
Frontcourt,Congolese,23,jonathan malangu kuminga
,American,37,jordan lee crawford
Backcourt,American,44,joseph xavier forte
,American,35,jrue randall holiday
,American,66,"kenneth ""apple"" green"
Frontcourt,American,74,kermit washington
Frontcourt,American,37,kevin wayne durant
,American,37,kevin wesley love
Frontcourt,American,29,kevon grant looney
Backcourt,American,47,kobe bean bryant
Frontcourt,Greek,35,kostas papanikolaou
Frontcourt,American,53,kurt thomas
,American-Chinese,33,kyle forman anderson
Backcourt,American,39,kyle terrell lowry
,American,33,kyrie andrew irving
,American,28,lamar brandon stevens
Frontcourt,Canadian,74,larry robinson
,American,36,lavoy allen
,American,40,lebron raymone james
Backcourt,American,28,lonzo anderson ball
Backcourt,American,66,magic johnson
,American,24,max berning fiedler
,American,34,michael carter-williams
Backcourt,American,62,michael jeffrey jordan
Backcourt,American,49,miles julian simon
Backcourt,American,37,mychel thompson
,American,50,nathaniel thomas huffman
Backcourt,Greek-American,36,nicholas william calathes
,British,28,"ogugua ""og"" anunoby"
,American,35,paul clifton anthony george
,American,52,rick hughes
Backcourt,American,37,ronald moore
,American,51,tony lorenzo delk
,American,25,trayce jackson-davis
Backcourt,American,25,tyler christopher herro
Backcourt,American,60,vernon maxwell
Frontcourt,French,21,victor wembanyama
Frontcourt,American,61,walter berry
Backcourt,American,37,wardell stephen curry
Frontcourt,American,61,william bedford
,American,28,zach collins
,American,30,zachary thomas lavine
