name,college,team_name,gdp
andre jamal drummond,University of Connecticut,Philadelphia 76ers,518.5
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200
anthony edwards,Georgia,Minnesota Timberwolves,
ausar xlnc thompson,,Detroit Pistons,
cade parker cunningham,Oklahoma State,Detroit Pistons,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200
draymond jamal green,Michigan State University,Golden State Warriors,252200
isiah thomas,Indiana Hoosiers,Detroit Pistons,
jaden edward dhananjay ivey,Purdue,Detroit Pistons,
jay vincent jay fletcher vincent,Michigan State Spartans,Los Angeles Lakers,
joel hans embiid,University of Kansas,Philadelphia 76ers,518.5
jonathan malangu kuminga,,Golden State Warriors,252200
jrue randall holiday,UCLA,Boston Celtics,
kevon grant looney,UCLA,Golden State Warriors,252200
kyrie andrew irving,Duke University,Dallas Mavericks,
lavoy allen,Temple University,Philadelphia 76ers,518.5
"monti davis damon william ""monti"" davis",Tennessee State University,Dallas Mavericks,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
shaquille rashaun o'neal,Louisiana State University (LSU),Boston Celtics,
steve kerr,University of Arizona,Golden State Warriors,252200
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,252200
wardell stephen curry,Davidson,Golden State Warriors,252200
zachary thomas lavine,UCLA,Chicago Bulls,689000
