nba_team,name,own_year,id,owner.id
Oklahoma City Thunder,clay bennett,2006.0,,
Orlando Magic,daniel g devos,1991.0,,
Denver Nuggets,enos stanley kroenke,2000.0,,
New Orleans Pelicans,gayle marie lajaunie bird benson,2018.0,,
Indiana Pacers,herbert simon,1983.0,,
"New York Knicks, New York Rangers",james lawrence dolan,1999.0,,
Chicago Bulls,jerry michael reinsdorf,1985.0,,
Brooklyn Nets,joseph chung-hsin tsai,2019.0,,
Philadelphia 76ers,joshua jordan harris,2011.0,,
Dallas Mavericks,mark cuban,2000.0,,
Miami Heat,micky arison,1995.0,,
Los Angeles Clippers,steven anthony ballmer,2014.0,,
Houston Rockets,tilman joseph fertitta,2017.0,,
Detroit Pistons,tom gores,2011.0,,
