name,position,city_name,population,city.id,id,player.id,team.id
andrew christian wiggins,Forward,San Francisco,873965.0,,,,
anthony edwards,Shooting Guard,Minneapolis,429954.0,,,,
anthony marshon davis,Power forward,Los Angeles,621000.0,,,,
"chavano rainer ""buddy"" hield",Backcourt,San Francisco,873965.0,,,,
d'angelo russell,Point Guard,Los Angeles,621000.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",Backcourt,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,Power Forward,Milwaukee,577222.0,,,,
harrison bryce jordan barnes,,San Antonio,2013793.0,,,,
jaime jaquez,,Miami,442241.0,,,,
jaylen marselles brown,Shooting Guard,Boston,691531.0,,,,
jayson christopher tatum,Forward,Boston,691531.0,,,,
jonathan malangu kuminga,Small forward,San Francisco,873965.0,,,,
kevon grant looney,Backcourt,San Francisco,873965.0,,,,
kyle forman anderson,Forward,San Francisco,873965.0,,,,
kyrie andrew irving,,Dallas,1299544.0,,,,
lamar brandon stevens,Backcourt,Boston,691531.0,,,,
lonzo anderson ball,Point guard,Chicago,2746388.0,,,,
trayce jackson-davis,Forward,San Francisco,873965.0,,,,
tyler christopher herro,Point Guard,Miami,442241.0,,,,
victor wembanyama,,San Antonio,2013793.0,,,,
zach collins,Center,San Antonio,2013793.0,,,,
zachary thomas lavine,Backcourt,Chicago,2746388.0,,,,
