name,position,city_name,population
andrew christian wiggins,,San Francisco,808988
anthony edwards,Backcourt,Minneapolis,429954
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
"chavano rainer ""buddy"" hield",,San Francisco,808988
d'angelo russell,Backcourt,Los Angeles,"3,820,914"
duncan mcbryde robinson,,Miami,442241
"edrice femi ""bam"" adebayo",,Miami,442241
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee,"577,222"
harrison bryce jordan barnes,,San Antonio,1434625
jaime jaquez,,Miami,442241
jaylen marselles brown,Backcourt,Boston,675647
jayson christopher tatum,,Boston,675647
jonathan malangu kuminga,Frontcourt,San Francisco,808988
kevon grant looney,Frontcourt,San Francisco,808988
kyle forman anderson,,San Francisco,808988
kyrie andrew irving,,Dallas,1304379
lamar brandon stevens,,Memphis,633104
lonzo anderson ball,Backcourt,Chicago,2746388
trayce jackson-davis,,San Francisco,808988
tyler christopher herro,Backcourt,Miami,442241
victor wembanyama,Frontcourt,San Antonio,1434625
zach collins,,San Antonio,1434625
zachary thomas lavine,,Chicago,2746388
