city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,,Boston Celtics,Jayson Tatum,Duke University,,,,
boston,,Boston Celtics,Jaylen Brown,"University of California, Berkeley",,,,
boston,,Boston Celtics,Dino Rađa,,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins,,,,
chicago,Illinois,Chicago Bulls,Michael Jordan,University of North Carolina at Chapel Hill,,,,
cleveland,Ohio,Cavaliers,James,,,,,
dallas,Texas,Dallas Mavericks,Jalen Brunson,Villanova,,,,
houston,Texas,Houston Rockets,Vernon Maxwell,University of Florida,,,,
indianapolis,Indiana,Indiana Pacers,Paul George,Fresno State Bulldogs,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes,,,,
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves,Wichita State,,,,
los angeles,California,Los Angeles Lakers,Kermit Washington,American University,,,,
los angeles,California,Lakers,Bryant,,,,,
memphis,Tennessee,Memphis Grizzlies,Lamar Stevens,,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College,,,,
miami,Florida,Miami Heat,Jimmy Butler,Marquette University,,,,
miami,Florida,Miami Heat,Kyle Lowry,Villanova,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Kevin Love,UCLA,,,,
milwaukee,,Bucks,Giannis Antetokounmpo,,,,,
new york city,,New York Knicks,Trent Tucker,University of Minnesota,,,,
new york city,,New York Knicks,OG Anunoby,Indiana University,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA,,,,
philadelphia,,Philadelphia 76ers,Al Horford,University of Florida,,,,
philadelphia,,Philadelphia 76ers,Al Horford,University of Florida,,,,
philadelphia,,Philadelphia 76ers,Al Horford,University of Florida,,,,
philadelphia,,Philadelphia 76ers,Drew Gordon,UCLA,,,,
philadelphia,,Philadelphia 76ers,Drew Gordon,UCLA,,,,
phoenix,Arizona,Phoenix Suns,Chris Paul,Wake Forest University,,,,
phoenix,Arizona,Phoenix Suns,Devin Booker,Kentucky,,,,
phoenix,Arizona,Phoenix Suns,Aaron Jamal Crawford,University of Michigan,,,,
san antonio,Texas,San Antonio Spurs,Tim Duncan,,,,,
san antonio,Texas,San Antonio Spurs,Dwayne Schintzius,University of Florida,,,,
san antonio,Texas,San Antonio Spurs,Maxwell,,,,,
san francisco,California,Golden State Warriors,Kyle Forman Anderson,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State University,,,,
san francisco,California,Golden State Warriors,Stephen Curry,Davidson College,,,,
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,,,,,
san francisco,California,Golden State Warriors,Steve Kerr,Arizona Wildcats,,,,
san francisco,California,Golden State Warriors,Kuminga,,,,,
san francisco,California,Golden State Warriors,Shaun Livingston,,,,,
