name,nationality,age,team_name,location,id,player.id,team.id
aaron williams,American,53.0,Utah Jazz,Salt Lake City,,,
andre jamal drummond,,32.0,Philadelphia 76ers,"Camden, New Jersey",,,
andrew christian wiggins,Canadian,28.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American-born naturalized Azerbaijani,32.0,Los Angeles Lakers,Downtown Los Angeles,,,
austin tyler reaves,American,27.0,Los Angeles Lakers,Downtown Los Angeles,,,
brandan keith wright,,,Golden State Warriors,San Francisco,,,
caleb martin,American,30.0,Philadelphia 76ers,"Camden, New Jersey",,,
"chavano rainer ""buddy"" hield",,32.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,40.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,,28.0,Los Angeles Lakers,Downtown Los Angeles,,,
derrick chievous,,,Houston Rockets,Houston,,,
devin armani booker,American-born naturalized Azerbaijani,28.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,35.0,Golden State Warriors,San Francisco,,,
drew edward gordon,American,34.0,Philadelphia 76ers,"Camden, New Jersey",,,
duncan mcbryde robinson,American,31.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American-born naturalized Nigerian,28.0,Miami Heat,Miami,,,
erick strickland,American,51.0,Dallas Mavericks,Dallas,,,
garfield smith,American,-79.0,Boston Celtics,Boston,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee,,,
greg fillmore gregory paul fillmore,,,New York Knicks,Manhattan,,,
harrison bryce jordan barnes,American,33.0,San Antonio Spurs,San Antonio,,,
jabari dominic walker,American,33.0,Portland Trail Blazers,"Portland, Oregon",,,
jaime jaquez,Mexican-American,24.0,Miami Heat,Miami,,,
jalen marquis brunson,American,27.0,New York Knicks,Manhattan,,,
jay vincent jay fletcher vincent,American,,Dallas Mavericks,Dallas,,,
jaylen marselles brown,American,28.0,Boston Celtics,Boston,,,
jayson christopher tatum,,26.0,Boston Celtics,Boston,,,
jimmy butler,American,35.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,32.0,Philadelphia 76ers,"Camden, New Jersey",,,
john harding lucas,American,33.0,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,,34.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",,,New York Knicks,Manhattan,,,
kermit washington,American,21.0,Los Angeles Lakers,Downtown Los Angeles,,,
kevin wesley love,American,36.0,Miami Heat,Miami,,,
kevon grant looney,American,28.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,46.0,Los Angeles Lakers,Downtown Los Angeles,,,
kurt thomas,American,,Miami Heat,Miami,,,
kyle forman anderson,American-Chinese,32.0,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,,Philadelphia 76ers,"Camden, New Jersey",,,
kyrie andrew irving,American,33.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,,Cleveland Cavaliers,Cleveland,,,
lebron raymone james,American,41.0,Los Angeles Lakers,Downtown Los Angeles,,,
lonzo anderson ball,,28.0,Chicago Bulls,Chicago,,,
magic johnson,American,66.0,Los Angeles Lakers,Downtown Los Angeles,,,
mark price,American,,Cleveland Cavaliers,Cleveland,,,
max berning fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey",,,
"ogugua ""og"" anunoby",British,28.0,New York Knicks,Manhattan,,,
paul clifton anthony george,American,35.0,Philadelphia 76ers,"Camden, New Jersey",,,
rik smits,Dutch,,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,53.0,Sacramento Kings,Sacramento,,,
trayce jackson-davis,American,24.0,Golden State Warriors,San Francisco,,,
tyler christopher herro,,24.0,Miami Heat,Miami,,,
vernon maxwell,American,,Houston Rockets,Houston,,,
victor wembanyama,French,21.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,37.0,Golden State Warriors,San Francisco,,,
zach collins,American,,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,30.0,Chicago Bulls,Chicago,,,
