age,nba_team,name,id,owner.id
,Orlando Magic,daniel g devos,,
78.0,Denver Nuggets,enos stanley kroenke,,
77.0,New Orleans Pelicans,gayle marie lajaunie bird benson,,
90.0,Indiana Pacers,herbert simon,,
70.0,New York Knicks,james lawrence dolan,,
88.0,Chicago Bulls,jerry michael reinsdorf,,
61.0,Brooklyn Nets,joseph chung-hsin tsai,,
69.0,Golden State Warriors,joseph steven lacob,,
59.0,Philadelphia 76ers,joshua jordan harris,,
67.0,Dallas Mavericks,mark cuban,,
75.0,Miami Heat,micky arison,,
68.0,Los Angeles Clippers,steven anthony ballmer,,
66.0,Houston Rockets,tilman joseph fertitta,,
60.0,Detroit Pistons,tom gores,,
