name,nationality,age,team_name,location
Garfield Smith,American,78.0,Boston Celtics,Boston
Steve Kerr,American,59.0,Golden State Warriors,San Francisco
Kyle Anderson,American-Chinese,31.0,Golden State Warriors,San Francisco
Carrick Felix,American,33.0,Cleveland Cavaliers,Cleveland
Jalen Brunson,American,27.0,New York Knicks,Manhattan
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Drew Edward Gordon,American,34.0,Philadelphia 76ers,Philadelphia
Anthony Davis,American,30.0,Los Angeles Lakers,Los Angeles
John Lucas II,American,70.0,Houston Rockets,Houston
Buddy Hield,Bahamian,32.0,Philadelphia 76ers,Philadelphia
Jonathan Malangu Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Chris Paul,American,38.0,Phoenix Suns,"Phoenix, Arizona"
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
William Bedford,American,59.0,Phoenix Suns,"Phoenix, Arizona"
Shawn Respert,American,51.0,Portland Trail Blazers,"Portland, Oregon"
Zach LaVine,American,29.0,Chicago Bulls,Chicago
Garry Witts,American,64.0,Bullets,"Washington, D.C."
Anthony Avent,American,54.0,Bucks,Milwaukee
Max Fiedler,American,23.0,Philadelphia 76ers,Philadelphia
Jimmy Butler,American,34.0,Miami Heat,"Miami, FL"
Kyle Lowry,American,37.0,Toronto Raptors,Toronto
Al Horford,Dominican,38.0,Boston Celtics,Boston
Duncan Robinson,American,29.0,Miami Heat,"Miami, FL"
Jayson Tatum,American,26.0,Boston Celtics,Boston
Caleb Martin,American,28.0,Philadelphia 76ers,Philadelphia
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
OG Anunoby,British,27.0,New York Knicks,Manhattan
Dennis Schröder,German,31.0,Brooklyn Nets,Brooklyn
Jabari Dominic Walker,American,21.0,Portland Trail Blazers,"Portland, Oregon"
Michael Carter-Williams,American,32.0,Orlando Magic,"Orlando, Florida"
Jahlil Okafor,Nigerian-American,26.0,New Orleans Pelicans,New Orleans
Jamal Crawford,American,43.0,Brooklyn Nets,Brooklyn
Paul George,American,33.0,Los Angeles Clippers,Los Angeles
Cal Ramsey,American,82.0,New York Knicks,Manhattan
LeBron James,American,39.0,Miami Heat,"Miami, FL"
Kevon Looney,American,28.0,Golden State Warriors,San Francisco
Kevin Love,American,35.0,Miami Heat,"Miami, FL"
Lamar Brandon Stevens,American,27.0,Memphis Grizzlies,"Memphis, Tennessee"
Jaime Jaquez Jr.,"American, Mexican",23.0,Miami Heat,"Miami, FL"
Devin Booker,American,27.0,Phoenix Suns,"Phoenix, Arizona"
Brandan Keith Wright,American,36.0,Golden State Warriors,San Francisco
Lavoy Allen,American,34.0,Philadelphia 76ers,Philadelphia
Kevin Wayne Durant,American,35.0,Brooklyn Nets,Brooklyn
Vernon Maxwell,American,58.0,Houston Rockets,Houston
Tyler Herro,American,24.0,Miami Heat,"Miami, FL"
Dwayne Schintzius,American,44.0,San Antonio Spurs,San Antonio
Bam Adebayo,American,27.0,Miami Heat,"Miami, FL"
Mark Price,American,59.0,Cleveland Cavaliers,Cleveland
Timothy Theodore Duncan,American,48.0,San Antonio Spurs,San Antonio
Eric Johnson,American-Spanish,57.0,Utah Jazz,Salt Lake City
Dino Rađa,Croatian,56.0,Boston Celtics,Boston
Joel Embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia
Kyrie Irving,American,32.0,Brooklyn Nets,Brooklyn
Don Anielak,American,65.0,New York Knicks,Manhattan
Kobe Bryant,American,42.0,Los Angeles Lakers,Los Angeles
Jrue Holiday,American,34.0,Boston Celtics,Boston
Rik Smits,Dutch,57.0,Indiana Pacers,Indianapolis
Victor Wembanyama,French,19.0,San Antonio Spurs,San Antonio
Andre Drummond,American,31.0,Philadelphia 76ers,Philadelphia
Shaquille O'Neal,American,nan,Miami Heat,"Miami, FL"
Kenneth 'Apple' Green,American,64.0,New York Knicks,Manhattan
Magic,American,64.0,Los Angeles Lakers,Los Angeles
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
Austin Reaves,American,26.0,Los Angeles Lakers,Los Angeles
Harrison Bryce Jordan Barnes,American,32.0,Sacramento Kings,"Sacramento, California"
Lonzo Ball,American,27.0,Chicago Bulls,Chicago
Draymond Green,American,33.0,Golden State Warriors,San Francisco
