query_id,query_text,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,relative_error,error
S1,"SELECT area, city_name, gdp FROM city",True,cache_hit,0.15927529335021973,29,0,0,0,0.5977011494252874,0.5977011494252874,0.5977011494252874,29,28,False,,
S2,"SELECT nba_team, name, own_year FROM owner",True,cache_hit,0.1768355369567871,16,0,0,0,0.7291666666666666,0.7291666666666666,0.7291666666666666,16,15,False,,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78",True,cache_hit,0.09863805770874023,0,0,0,0,0.0,0.0,0.0,1,0,False,,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642",True,row_delta,12.942743301391602,1,20224,603,20827,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,False,,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'",True,row_delta,1.1654689311981201,14,950,38,988,0.6896551724137931,0.7142857142857143,0.6666666666666666,15,13,False,,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66",True,row_delta,0.8459043502807617,5,950,38,988,0.6666666666666666,0.9333333333333332,0.5185185185185185,9,5,False,,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0",True,row_delta,1.3725378513336182,3,1623,111,1734,0.012096774193548387,0.25,0.006198347107438017,121,1,False,,
F14,"SELECT position, nationality, age FROM player WHERE age < 91",True,cache_hit,0.08212614059448242,65,0,0,0,0.32984293193717273,0.48461538461538467,0.25,126,58,False,,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '",True,row_delta,3.7715723514556885,30,10691,403,11094,0.6172839506172839,0.5555555555555555,0.6944444444444445,24,23,False,,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989",True,cache_hit,0.07157516479492188,24,0,0,0,0.5102040816326531,0.5208333333333333,0.5,25,24,False,,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position",True,cache_hit,0.06868839263916016,17,0,0,0,,,,3,,True,0.9411764705882353,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position",True,cache_hit,0.0660097599029541,17,0,0,0,,,,3,,True,0.9532735564659504,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name",True,join_alignment,1.6159038543701172,89,0,0,0,0.36158192090395486,0.3595505617977528,0.36363636363636365,88,69,False,,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name",True,join_alignment,0.2505931854248047,89,0,0,0,0.6101694915254237,0.6067415730337078,0.6136363636363635,88,69,False,,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position",True,join_alignment,0.2643735408782959,14,0,0,0,,,,3,,True,0.9285714285714286,
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position",True,join_alignment,2.0613222122192383,6,136,7,143,,,,2,,True,1.0,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality",True,row_delta,1.0158934593200684,1,950,38,988,,,,3,,True,0.7963185274109644,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality",True,row_delta,12.556005001068115,20,31205,1382,32587,,,,23,,True,1.1628019323671497,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality",True,row_delta,1.8317828178405762,11,1623,131,1754,,,,3,,True,0.7272727272727273,
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality",True,row_delta,21.40770983695984,1,93024,2124,95148,,,,1,,True,1.0,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality",True,row_delta,0.40593433380126953,2,0,0,0,,,,3,,True,0.6666666666666666,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team",True,cache_hit,0.06931662559509277,0,0,0,0,,,,29,,True,1.0,
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality",True,row_delta,4.213832378387451,1,10776,414,11190,,,,1,,True,0.0,
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0",True,join_alignment,0.31021547317504883,26,0,0,0,0.36190476190476195,0.2923076923076923,0.475,16,11,False,,
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522",True,join_alignment,1.0353858470916748,2,136,7,143,0.0,0.0,0.0,0,0,False,,
