name,draft_pick,college,team_name,id,player.id,team.id
andre jamal drummond,9,University of Connecticut,Detroit Pistons,,,
andrew christian wiggins,1,Kansas,Golden State Warriors,,,
anthony edwards,1,Georgia,Minnesota Timberwolves,,,
ausar xlnc thompson,5,,Detroit Pistons,,,
cade parker cunningham,1,Oklahoma State,Detroit Pistons,,,
caleb martin,-1,"NC State University, Nevada",Philadelphia 76ers,,,
"chavano rainer ""buddy"" hield",6,Oklahoma Sooners,Golden State Warriors,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
dan anderson,2,,Portland Trail Blazers,,,
darnell hillman,8,San Jose State University,Indiana Pacers,,,
derrick chievous,16,University of Missouri,Houston Rockets,,,
devin armani booker,13,Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State Spartans,Golden State Warriors,,,
duncan mcbryde robinson,-1,"Williams College, Michigan",Miami Heat,,,
"edrice femi ""bam"" adebayo",14,Kentucky,Miami Heat,,,
harrison bryce jordan barnes,7,North Carolina Tar Heels,Golden State Warriors,,,
isiah thomas,2,Indiana Hoosiers,Detroit Pistons,,,
jabari dominic walker,57,Colorado,Portland Trail Blazers,,,
jaden edward dhananjay ivey,5,Purdue Boilermakers,Detroit Pistons,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jamal crawford,8,University of Michigan,Chicago Bulls,,,
jaylen marselles brown,3,California,Boston Celtics,,,
jayson christopher tatum,3,Duke University,Boston Celtics,,,
jimmy butler,30,Marquette University,Miami Heat,,,
joel hans embiid,3,Kansas,Philadelphia 76ers,,,
john harding lucas,1,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7,,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
kevin wayne durant,2,University of Texas at Austin,Brooklyn Nets,,,
kevin wesley love,5,UCLA,Cleveland Cavaliers,,,
kevon grant looney,30,UCLA,Golden State Warriors,,,
kurt thomas,28,Texas Christian University,Miami Heat,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24,Villanova,Philadelphia 76ers,,,
kyrie andrew irving,1,Duke University,Brooklyn Nets,,,
lamar brandon stevens,-1,Penn State,Memphis Grizzlies,,,
lavoy allen,50,Temple University,Philadelphia 76ers,,,
lonzo anderson ball,2,UCLA,Chicago Bulls,,,
mark price,25,Georgia Tech,Cleveland Cavaliers,,,
paul clifton anthony george,10,Fresno State,Indiana Pacers,,,
rik smits,2,Marist College,Indiana Pacers,,,
steve kerr,-1,Arizona,Phoenix Suns,,,
tim duncan,1,Wake Forest University,San Antonio Spurs,,,
trayce jackson-davis,57,Indiana,Golden State Warriors,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,28,University of Florida,Houston Rockets,,,
victor wembanyama,0,,San Antonio Spurs,,,
zach collins,10,Gonzaga,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA,Chicago Bulls,,,
