id,name,position,nationality,team,college,nba_championships,mvp_awards,olympic_gold_medals
nba_0,Antonius Cleveland  ,,American  ,Lokomotiv Kuban  ,Southeast Missouri State University  ,0.0,0,0.0
nba_1,Jay Vincent Jay Fletcher Vincent  ,Frontcourt,American  ,Los Angeles Lakers,Michigan State Spartans  ,0.0,0,0.0
nba_2,Nikola Radi?evi?  ,Backcourt,Serbian  ,Cedevita Olimpija  , ,0.0,0,0.0
nba_3,Fran Curran Francis Hugh Curran Sr.,,American,Rochester Royals,University of Notre Dame,0.0,0,0.0
nba_4,Mark Price  ,Backcourt,American  ,Orlando Magic,Georgia Tech  ,0.0,0,0.0
nba_5,David Michineau  ,Backcourt,French  ,Bursaspor Basketbol  , ,0.0,0,0.0
nba_6,Donta Hall  ,,American-born naturalized Azerbaijani  ,Saski Baskonia,Alabama  ,0.0,0,0.0
nba_7,Erick Strickland  ,,American  ,Milwaukee Bucks,University of Nebraska,0.0,0,0.0
nba_8,David Lattin  ,Frontcourt,American  , New Orleans Jazz,Texas Western College  ,0.0,0,0.0
nba_9,Toby Kimball  ,Frontcourt,American  , New Orleans Jazz,University of Connecticut  ,0.0,0,0.0
nba_10,Derek Grimm  ,Frontcourt,American  ,Sacramento Kings  ,University of Missouri  ,0.0,0,0.0
nba_11,Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,Kentucky,1.0,1,2.0
nba_12,Brandan Keith Wright  ,,American  ,Houston Rockets  ,University of North Carolina at Chapel Hill  ,0.0,0,0.0
nba_13,Askia Rahman Jones  ,Backcourt,American-Venezuelan  ,Guaros de Lara,Kansas State University  ,0.0,0,0.0
nba_14,Carrick Felix  ,Backcourt,American  , Melbourne United,Arizona State  ,0.0,0,0.0
nba_15,Mychel Thompson  ,Backcourt,American  , Santa Cruz Warriors,Pepperdine University  ,0.0,0,0.0
nba_16,Marvin Roberts,,American,,Utah State University,0.0,0,0.0
nba_17,"Kenneth ""Apple"" Green  ",,American  ,New York Knicks  ,Pan American University  ,0.0,0,0.0
nba_18,Gerald Madkins Jr.,,American,Grand Rapids Hoops,"University of California, Los Angeles",0.0,0,0.0
nba_19,Don Anielak  ,,American  ,New York Knicks  ,Southwest Missouri State University  ,0.0,0,0.0
nba_20,Philip Douglas Jackson  ,Frontcourt,American  , Los Angeles Lakers,University of North Dakota  ,13.0,0,0.0
nba_21,Anthony Avent  ,Frontcourt,American  , PAOK Thessaloniki,Seton Hall University  ,0.0,0,0.0
