name,position,team_name,founded_year
Kermit Washington,forward,Los Angeles Lakers,1946.0
Earvin 'Magic' Johnson Jr.,Point Guard,Los Angeles Lakers,1946.0
Dennis Schröder,basketball player,Brooklyn Nets,1967.0
Phil Jackson,Power Forward,New York Knicks,1946.0
Jahlil Okafor,center/power forward,New Orleans Pelicans,2002.0
Kevin Wayne Durant,basketball player,Phoenix Suns,1968.0
Trent Tucker,shooting guard,New York Knicks,1946.0
Harry Junior 'The Horse' Gallatin,center,New York Knicks,1946.0
Donyell Lamar Marshall,forward,Minnesota Timberwolves,1989.0
Jay Vincent,forward,Dallas Mavericks,1980.0
Steve Kerr,shooting guard,Golden State Warriors,1946.0
Gerald Madkins,Guard,New York Knicks,1946.0
Tony Delk,Guard-Forward,Charlotte Hornets,1988.0
Jimmy Butler,Shooting Guard/Small Forward,Miami Heat,1988.0
Stephen Curry,Point Guard,Golden State Warriors,1946.0
Lonzo Anderson Ball,point guard,Chicago Bulls,1966.0
Anthony Marshon Davis Jr.,power forward and center,Los Angeles Lakers,1946.0
Kyle Lowry,Point Guard,Toronto Raptors,1995.0
Giannis Antetokounmpo,Power Forward,Milwaukee Bucks,1968.0
Jaylen Brown,shooting guard,Boston Celtics,1946.0
Kevon Looney,center,Golden State Warriors,1946.0
Isiah Thomas,Point Guard,Detroit Pistons,1937.0
Miles Julian Simon,Guard,Phoenix Suns,1968.0
Ken Green,basketball,New York Knicks,1946.0
Zach Collins,center,San Antonio Spurs,1967.0
Zach LaVine,point guard,Chicago Bulls,1966.0
Darnell Hillman,Forward,Indiana Pacers,1967.0
D'Angelo Russell,point guard,Los Angeles Lakers,1946.0
Tim Duncan,power forward,San Antonio Spurs,1967.0
Kurt Thomas,power forward-center,New York Knicks,1946.0
Rik Smits,Center,Indiana Pacers,1967.0
Caleb Martin,small forward,Philadelphia 76ers,1946.0
Andre Drummond,C,Philadelphia 76ers,1946.0
Buddy Hield,guard,Golden State Warriors,1946.0
Kevin Love,power forward/center,Miami Heat,1988.0
Al Horford,center,Boston Celtics,1946.0
Garry Witts,basketball player,Bullets,1961.0
Duncan McBryde Robinson,shooting guard,Miami Heat,1988.0
Chris Paul,point guard,San Antonio Spurs,1967.0
Shaquille Rashaun O'Neal,center,Orlando Magic,1989.0
LeBron James,forward,Los Angeles Lakers,1946.0
OG Anunoby,forward/guard,New York Knicks,1946.0
Paul George,Forwards,Los Angeles Clippers,1970.0
Kyrie Irving,point guard,Brooklyn Nets,1967.0
Andrew Christian Wiggins,forward,Golden State Warriors,1946.0
Drew Edward Gordon,power forward,Philadelphia 76ers,1946.0
Michael Jeffrey Jordan,Guard,Chicago Bulls,1966.0
Jrue Holiday,point guard,Boston Celtics,1946.0
Draymond Green,power forward,Golden State Warriors,1946.0
Austin Tyler Reaves,basketball player,Los Angeles Lakers,1946.0
