name,nationality,age,team_name,location
Drew Edward Gordon,American,33.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Fred Boyd,American,22.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Lavoy Allen,American,34.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Jrue Holiday,American,34.0,Boston Celtics,Boston
Duncan McBryde Robinson,American,29.0,Miami Heat,Miami
Al Horford,Dominican,38.0,Boston Celtics,Boston
Kevin Wayne Durant,American,35.0,Phoenix Suns,"Phoenix, Arizona"
Shaquille O'Neal,American,nan,Miami Heat,Miami
Jamal Crawford,American,43.0,Brooklyn Nets,Brooklyn
Darnell Hillman,American,74.0,Indiana Pacers,Indianapolis
Austin Tyler Reaves,American,26.0,Los Angeles Lakers,Los Angeles
Kobe Bryant,American,42.0,Los Angeles Lakers,Los Angeles
Kevin Love,American,35.0,Miami Heat,Miami
Anthony Avent,American,54.0,Bucks,Milwaukee
Joel Embiid,Cameroonian-American,29.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Chris Paul,American,38.0,Phoenix Suns,"Phoenix, Arizona"
Dino Rađa,Croatian,56.0,Boston Celtics,Boston
Michael Carter-Williams,American,32.0,Orlando Magic,"Orlando, Florida"
Anthony Davis,American,30.0,Los Angeles Lakers,Los Angeles
Paul George,American,33.0,Los Angeles Clippers,Los Angeles
Kyle Lowry,American,37.0,Toronto Raptors,Toronto
Kyrie Irving,American and Australian,32.0,Brooklyn Nets,Brooklyn
Eric Johnson,American-Spanish,57.0,Utah Jazz,Salt Lake City
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,San Antonio
Draymond Green,nan,33.0,Golden State Warriors,San Francisco
Jayson Tatum,American,26.0,Boston Celtics,Boston
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
Derrick Chievous,American,56.0,Houston Rockets,"Houston, TX"
Caleb Martin,American,30.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Miles Julian Simon,American,48.0,Phoenix Suns,"Phoenix, Arizona"
Garfield Smith,American,78.0,Boston Celtics,Boston
LeBron James,American,39.0,Miami Heat,Miami
Kevon Looney,American,28.0,Golden State Warriors,San Francisco
Jimmy Butler,American,34.0,Miami Heat,Miami
Zach LaVine,American,29.0,Chicago Bulls,Chicago
Jonathan Malangu Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Andrew Christian Wiggins,Canadian,28.0,Golden State Warriors,San Francisco
Garry Witts,American,64.0,Bullets,"Washington, D.C."
Kyle Forman Anderson,American-Chinese,31.0,Golden State Warriors,San Francisco
Rik Smits,Dutch,57.0,Indiana Pacers,Indianapolis
Max Fiedler,American,23.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Lamar Brandon Stevens,American,27.0,Memphis Grizzlies,"Memphis, TN"
Kurt Vincent Thomas,American,nan,Knicks,New York City
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
Lonzo Ball,American,27.0,Chicago Bulls,Chicago
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Vernon Maxwell,American,58.0,Houston Rockets,"Houston, TX"
Andre Drummond,American,31.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
John Lucas II,American,70.0,Houston Rockets,"Houston, TX"
Earvin Johnson,American,64.0,Los Angeles Lakers,Los Angeles
Jaime Jaquez Jr.,Mexican-American,23.0,Miami Heat,Miami
Buddy Hield,Bahamian,31.0,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Devin Booker,American,27.0,Phoenix Suns,"Phoenix, Arizona"
Tyler Herro,American,24.0,Miami Heat,Miami
Steve Kerr,American,59.0,Golden State Warriors,San Francisco
Victor Wembanyama,French,20.0,San Antonio Spurs,San Antonio
Jahlil Okafor,Nigerian-American,26.0,New Orleans Pelicans,New Orleans
Dennis Schröder,German,31.0,Brooklyn Nets,Brooklyn
Derek Grimm,American,49.0,Sacramento Kings,"Sacramento, California"
Brandan Keith Wright,American,36.0,Golden State Warriors,San Francisco
Timothy Theodore Duncan,American,48.0,San Antonio Spurs,San Antonio
