name,draft_pick,college,team_name
Jayson Tatum,3.0,Duke,Boston Celtics
Dino Radja,40.0,,Boston Celtics
Kyle Lowry,24.0,Villanova,Memphis Grizzlies
Rik Smits,2.0,Marist College,Indiana Pacers
Isiah Lord Thomas III,2.0,Indiana,Detroit Pistons
Jay Vincent,24.0,Michigan State,Dallas Mavericks
Nate Huffman,0.0,Central Michigan University,Toronto Raptors
Al Horford,3.0,Florida,Atlanta Hawks
Ausar Thompson,5.0,,Detroit Pistons
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Austin Reaves,0.0,Wichita State,Los Angeles Lakers
Andre Drummond,9.0,Connecticut Huskies,Detroit Pistons
Kyrie Irving,1.0,Duke,Brooklyn Nets
Aaron Williams,0.0,Xavier University,Utah Jazz
Jimmy Butler,30.0,"Tyler Junior College, Marquette University",Miami Heat
Derrick Chievous,16.0,University of Missouri,Houston Rockets
Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
Tom Copa,44.0,Marquette,San Antonio Spurs
Jaime Jaquez Jr.,18.0,UCLA,Miami Heat
Kevon Looney,30.0,UCLA,Golden State Warriors
Derek Grimm,50.0,Missouri,Sacramento Kings
Jrue Holiday,17.0,UCLA,Boston Celtics
Jamal Crawford,8.0,University of Michigan,Chicago Bulls
Draymond Green,35.0,Michigan State,Golden State Warriors
Jaden Ivey,5.0,Purdue,Detroit Pistons
Dan Anderson,2.0,,Trail Blazers
Jaylen Brown,3.0,California Golden Bears,Boston Celtics
Zach LaVine,13.0,UCLA,Chicago Bulls
Duncan McBryde Robinson,0.0,Williams College,Miami Heat
Dennis Schröder,17.0,,Brooklyn Nets
Chris Paul,4.0,Wake Forest University,San Antonio Spurs
darnell_hillman,8.0,San Jose State,Indiana Pacers
Harrison Barnes,7.0,North Carolina,San Antonio Spurs
Cade Cunningham,1.0,Oklahoma State,Detroit Pistons
Lamar Stevens,0.0,Penn State,Memphis Grizzlies
Kevin Durant,2.0,Texas,Brooklyn Nets
Anthony Marshon Davis Jr.,1.0,Kentucky Wildcats,Los Angeles Lakers
Steve Kerr,50.0,Arizona,Golden State Warriors
Carrick Felix,33.0,Arizona State,Cleveland Cavaliers
Kobe Bryant,13.0,N/A,Los Angeles Lakers
Greg Foster,35.0,UTEP,Indiana Pacers
Tim Duncan,1.0,Wake Forest Demon Deacons,San Antonio Spurs
Boyd,5.0,Oregon State University,76ers
Joseph Forte,21.0,University of North Carolina,Boston Celtics
Dwayne Schintzius,24.0,University of Florida,San Antonio Spurs
Erick Strickland,0.0,University of Nebraska,Dallas Mavericks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Vernon Maxwell,2.0,University of Florida,Houston Rockets
Victor Wembanyama,1.0,,San Antonio Spurs
William Bedford,6.0,University of Memphis,Phoenix Suns
Michael Jeffrey Jordan,3.0,North Carolina Tar Heels,Chicago Bulls
"Earvin ""Magic"" Johnson Jr.",1.0,Michigan State,Los Angeles Lakers
Trayce Jackson-Davis,57.0,Indiana,Golden State Warriors
Devin Booker,13.0,Kentucky,Phoenix Suns
Jonathan Kuminga,7.0,,Golden State Warriors
Bam Adebayo,14.0,Kentucky,Miami Heat
Anthony Avent,15.0,Seton Hall University,Bucks
Stephen Curry,7.0,Davidson,Golden State Warriors
Andrew Wiggins,1.0,Kansas,Golden State Warriors
,5.0,Michigan State,Miami Heat
