name,college,team_name,gdp
Steve Kerr,Arizona Wildcats,Golden State Warriors,nan
Zach LaVine,UCLA,Chicago Bulls,nan
Steve Kerr,Arizona Wildcats,Golden State Warriors,nan
Kevon Looney,UCLA,Golden State Warriors,nan
Draymond Green,Michigan State Spartans,Golden State Warriors,nan
Andrew Wiggins,Kansas,Golden State Warriors,nan
Jonathan Kuminga,,Golden State Warriors,nan
Stephen Curry,Davidson,Golden State Warriors,0.0
Jonathan Kuminga,,Golden State Warriors,0.0
Stephen Curry,Davidson,Golden State Warriors,nan
Buddy Hield,Oklahoma,Golden State Warriors,0.0
Steve Kerr,Arizona Wildcats,Golden State Warriors,0.0
Jonathan Kuminga,,Golden State Warriors,nan
Buddy Hield,Oklahoma,Golden State Warriors,nan
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,0.0
Steve Kerr,Arizona Wildcats,Golden State Warriors,nan
Kevon Looney,UCLA,Golden State Warriors,0.0
Zach LaVine,UCLA,Chicago Bulls,0.0
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,nan
Steve Kerr,Arizona Wildcats,Golden State Warriors,nan
Zach LaVine,UCLA,Chicago Bulls,0.0
Stephen Curry,Davidson,Golden State Warriors,0.0
Jamal Crawford,University of Michigan,Chicago Bulls,0.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,0.0
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,nan
Trayce Jackson-Davis,Indiana,Golden State Warriors,nan
Steve Kerr,Arizona Wildcats,Golden State Warriors,0.0
Draymond Green,Michigan State Spartans,Golden State Warriors,0.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,0.0
Stephen Curry,Davidson,Golden State Warriors,nan
Stephen Curry,Davidson,Golden State Warriors,nan
Draymond Green,Michigan State Spartans,Golden State Warriors,nan
Trayce Jackson-Davis,Indiana,Golden State Warriors,nan
Buddy Hield,Oklahoma,Golden State Warriors,nan
Jaylen Marselles Brown,California,Boston Celtics,84500.0
Stephen Curry,Davidson,Golden State Warriors,nan
Draymond Green,Michigan State Spartans,Golden State Warriors,nan
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,nan
Steve Kerr,Arizona Wildcats,Golden State Warriors,nan
Buddy Hield,Oklahoma,Golden State Warriors,nan
Kevon Looney,UCLA,Golden State Warriors,nan
Jamal Crawford,University of Michigan,Chicago Bulls,nan
Zach LaVine,UCLA,Chicago Bulls,nan
Jonathan Kuminga,,Golden State Warriors,0.0
Andrew Wiggins,Kansas,Golden State Warriors,nan
Zach LaVine,UCLA,Chicago Bulls,nan
Kevon Looney,UCLA,Golden State Warriors,nan
Jamal Crawford,University of Michigan,Chicago Bulls,nan
Draymond Green,Michigan State Spartans,Golden State Warriors,0.0
Shaquille Rashaun O'Neal,LSU,Orlando Magic,0.0
Kevon Looney,UCLA,Golden State Warriors,0.0
Joseph Forte,University of North Carolina at Chapel Hill,Boston Celtics,84500.0
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,nan
Trayce Jackson-Davis,Indiana,Golden State Warriors,nan
Stephen Curry,Davidson,Golden State Warriors,nan
Buddy Hield,Oklahoma,Golden State Warriors,nan
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,0.0
Jonathan Kuminga,,Golden State Warriors,nan
Andrew Wiggins,Kansas,Golden State Warriors,nan
Jamal Crawford,University of Michigan,Chicago Bulls,0.0
Buddy Hield,Oklahoma,Golden State Warriors,nan
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,nan
Jrue Holiday,UCLA,Boston Celtics,84500.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,nan
Jonathan Kuminga,,Golden State Warriors,nan
Jamal Crawford,University of Michigan,Chicago Bulls,nan
Jamal Crawford,University of Michigan,Chicago Bulls,nan
Andrew Wiggins,Kansas,Golden State Warriors,0.0
Andrew Wiggins,Kansas,Golden State Warriors,nan
Zach LaVine,UCLA,Chicago Bulls,nan
Giannis Antetokounmpo,,Milwaukee Bucks,102000000000.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,nan
Andrew Wiggins,Kansas,Golden State Warriors,nan
Jamal Crawford,University of Michigan,Chicago Bulls,nan
Buddy Hield,Oklahoma,Golden State Warriors,0.0
Draymond Green,Michigan State Spartans,Golden State Warriors,nan
Andrew Wiggins,Kansas,Golden State Warriors,0.0
Draymond Green,Michigan State Spartans,Golden State Warriors,nan
Kevon Looney,UCLA,Golden State Warriors,nan
Zach LaVine,UCLA,Chicago Bulls,nan
Jonathan Kuminga,,Golden State Warriors,nan
Kevon Looney,UCLA,Golden State Warriors,nan
