name,position,city_name,population
,,,0.0
,,,0.0
Jaden Ivey,player,Detroit,639111.0
Jalen Brunson,point guard,New York City,8258035.0
Victor Wembanyama,center/forward,San Antonio,1434625.0
,,,0.0
Rick Hughes,,,0.0
nan,Point Guard,,0.0
Jahlil Okafor,center and power forward,,0.0
LeBron James,forward/center,Los Angeles,3820914.0
Jaylen Brown,shooting guard / small forward,,0.0
nan,Point Guard,,0.0
,,,0.0
nan,Point Guard,,0.0
,,,0.0
,,,0.0
Anthony Edwards,SG,,0.0
,,,0.0
Cade Cunningham,point guard,Detroit,639111.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
Jrue Holiday,point guard,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
,,,0.0
nan,Point Guard,,0.0
,,,0.0
OG Anunoby,forward,New York City,8258035.0
,,,0.0
,nan,Sacramento,524943.0
Ausar Thompson,forward/guard,Detroit,639111.0
,,,0.0
nan,Point Guard,,0.0
Rick Hughes,,,0.0
,,,0.0
,,,0.0
Dennis Schröder,PG,,0.0
Jayson Tatum,small forward,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
,,,0.0
nan,Point Guard,,0.0
,,,0.0
,,,0.0
John Doe,Guard,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
,,,0.0
Austin Reaves,guard,Los Angeles,3820914.0
Anthony Marshon Davis Jr.,power forward and center,Los Angeles,3820914.0
,,,0.0
,,,0.0
Mark Price,Point Guard,,0.0
,,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
Zach Collins,center,San Antonio,1434625.0
,,,0.0
,,,0.0
Lamar Brandon Stevens,forward,,0.0
John Doe,Guard,Los Angeles,3820914.0
,,,0.0
,,,0.0
nan,Point Guard,,0.0
D'Angelo Russell,point guard,Los Angeles,3820914.0
,,,0.0
