name,position,city_name,population
austin tyler reaves,,Los Angeles,"3,820,914"
d'angelo russell,Backcourt,Los Angeles,"3,820,914"
devin armani booker,Backcourt,Phoenix,1662607
duncan mcbryde robinson,,Miami,442241
jaylen marselles brown,Backcourt,Boston,675647
jayson christopher tatum,,Boston,675647
jonathan malangu kuminga,Frontcourt,San Francisco,808988
kyle forman anderson,,San Francisco,808988
lamar brandon stevens,,Memphis,633104
tyler christopher herro,Backcourt,Miami,442241
zachary thomas lavine,,Chicago,2746388
