university_name,academic_calendar,total_undergraduate_enrollment,file
Jamestown College,semester,1010,0173.txt
Wesleyan College,semester,624,0826.txt
Concordia University Chicago,semester,1270,0969.txt
Crown College,semester,1061,0982.txt
College of Mount St. Vincent,semester,1555,0943.txt
Woodbury University,semester,1301,0894.txt
Chestnut Hill College,semester,1480,0922.txt
Westmont College,semester,1304,0842.txt
Santa Fe University of Art and Design,semester,195,0467.txt
Freed-Hardeman University,semester,1496,0092.txt
Morningside College,semester,1239,0326.txt
Catawba College,semester,1324,0907.txt
St. Joseph's College,semester,1010,0532.txt
Harvey Mudd College,semester,757,0136.txt
Rollins College,semester,1773,0450.txt
North Carolina Wesleyan College,semester,1449,0351.txt
Piedmont College,semester,1268,0409.txt
New England College,semester,1014,0342.txt
United States Coast Guard Academy,semester,973,0632.txt
Columbia College SC,semester,1189,0962.txt
Virginia Union University,semester,1307,0803.txt
