university_name,year_founded,setting,file
Macalester College,1874,urban,0232.txt
Morningside College,1894,suburban,0326.txt
Columbia College SC,1854,urban,0962.txt
Concordia University Chicago,1864,suburban,0969.txt
Southeastern University,1935,suburban,0489.txt
Santa Fe University of Art and Design,1874,urban,0467.txt
Jamestown College,1884,urban,0173.txt
Freed-Hardeman University,1869,rural,0092.txt
New England College,1946,rural,0342.txt
Harvey Mudd College,1955,suburban,0136.txt
Woodbury University,1884,suburban,0894.txt
North Carolina Wesleyan College,1956,suburban,0351.txt
College of Mount St. Vincent,1847,urban,0943.txt
St. Joseph's College,1889,rural,0532.txt
