court_name,judge_name,file
Federal Court,Honourable Justice Jagot,09_570.txt
Western Australian Magistrates Court,Magistrate G N Calder,09_394.txt
NAN, Honourable Justice Siopis,09_26.txt
NAN, Justice Besanko,09_1480.txt
NAN,Honourable Justice Siopis,09_484.txt
Federal Court of Australia,NAN,09_789.txt
 Federal Court,Honourable Justice Foster,09_980.txt
Federal Court,Honourable Justice Logan,09_1154.txt
 Federal Magistrate, Justice Barker,09_841.txt
 Federal Court of Australia,Honourable Justice Collier,09_1205.txt
 Federal Court,Honourable Justice Gordon,09_1122.txt
NAN,NAN,09_1391.txt
 Federal Court,Stone J,09_372.txt
NAN,NAN,09_1399.txt
