city_name,state_name,team_name,name,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,,,,
boston,Massachusetts,Boston Celtics,Al Horford,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,,,,
houston,Texas,Houston Rockets,John Harding Lucas II,,,,
miami,Florida,Miami Heat,Kevin Wesley Love,,,,
miami,Florida,Miami Heat,Tyler Herro,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler III,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,,,,
miami,Florida,Miami Heat,Bam Adebayo,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,,,,
san francisco,California,Golden State Warriors,Buddy Hield Chavano Rainer,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,,,,
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,,,,
san francisco,California,Golden State Warriors,Kyle Anderson,,,,
san francisco,California,Golden State Warriors,Kevon Looney,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,,,,
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,,,,
san francisco,California,Golden State Warriors,Jordan Lee Crawford,,,,
