name,draft_pick,college,team_name,id,player.id,team.id
andrew christian wiggins,1,University of Kansas,Golden State Warriors,,,
anthony edwards,1,University of Georgia,Minnesota Timberwolves,,,
anthony marshon davis,1,Kentucky Wildcats,Lakers,,,
austin tyler reaves,17,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers,,,
brandan keith wright,8,University of North Carolina at Chapel Hill,Charlotte Bobcats,,,
caleb martin,17,NC State Wolfpack,Miami Heat,,,
"chavano rainer ""buddy"" hield",6,Sunrise Christian Academy,Golden State Warriors,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2,Ohio State Buckeyes,Los Angeles Lakers,,,
darnell hillman,8,San Jose State University,Golden State Warriors,,,
derek grimm,"50th overall (CBA Draft, 1997)",University of Missouri,Sacramento Kings,,,
derrick chievous,16,University of Missouri,Houston Rockets,,,
devin armani booker,13,University of Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State Spartans,Golden State Warriors,,,
drew edward gordon,17,UCLA Bruins,Dallas Mavericks,,,
duncan mcbryde robinson,17,"Williams College, University of Michigan",Miami Heat,,,
"edrice femi ""bam"" adebayo",14,University of Kentucky,Miami Heat,,,
garfield smith,10th pick in the third round,,Boston Celtics,,,
greg fillmore gregory paul fillmore,N/A,Cheyney University of Pennsylvania,New York Knicks,,,
harrison bryce jordan barnes,7,University of North Carolina,San Antonio Spurs,,,
jabari dominic walker,57,University of Colorado Boulder,Portland Trail Blazers,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,New York Knicks,,,
jay vincent jay fletcher vincent,24,Michigan State University,Dallas Mavericks,,,
jaylen marselles brown,3,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,3,Duke Blue Devils,Boston Celtics,,,
jimmy butler,30,"Tyler Junior College, Marquette University",Miami Heat,,,
joel hans embiid,3,University of Kansas,Philadelphia 76ers,,,
john harding lucas,1,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7,UNLV,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
"kenneth ""apple"" green",11,Pan American University,New York Knicks,,,
kermit washington,5,American University,Los Angeles Lakers,,,
kevin wesley love,17,UCLA Bruins,Miami Heat,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kobe bean bryant,17,,Los Angeles Lakers,,,
kurt thomas,Miami Heat in 1995,Texas Christian University,New York Knicks,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24,Villanova University,Charlotte Hornets,,,
kyrie andrew irving,1,Duke University,Dallas Mavericks,,,
lebron raymone james,1,,Los Angeles Lakers,,,
lonzo anderson ball,2,UCLA Bruins,New Orleans Pelicans,,,
magic johnson,1,Michigan State University,Los Angeles Lakers,,,
mark price,25th overall,Georgia Tech,Cleveland Cavaliers,,,
"monti davis damon william ""monti"" davis",21,Tennessee State University,Philadelphia 76ers,,,
"ogugua ""og"" anunoby",23rd,Indiana University,New York Knicks,,,
paul clifton anthony george,10,Fresno State Bulldogs,Philadelphia 76ers,,,
rik smits,2,Marist College,Indiana Pacers,,,
shaquille rashaun o'neal,1,LSU Tigers,Orlando Magic,,,
tim duncan,No. 1,Wake Forest,San Antonio Spurs,,,
trayce jackson-davis,57,Indiana University,Golden State Warriors,,,
trent tucker,6,University of Minnesota,Chicago Bulls,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,"2nd round, 37th overall",University of Florida,Houston Rockets,,,
victor wembanyama,1,Duke,San Antonio Spurs,,,
wardell stephen curry,7,Davidson Wildcats,USA Basketball,,,
zach collins,10,Gonzaga University,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
