name,age,nationality,file
Antonius Cleveland  ,29,American  ,Antonius_Cleveland.txt
Donta Hall  ,26,American-born naturalized Azerbaijani  ,Donta_Hall.txt
Anthony Marshon Davis Jr.,30,American,Anthony_Davis.txt
Brandan Keith Wright  ,36,American  ,Brandan_Wright.txt
Carrick Felix  ,33,American  ,Carrick_Felix.txt
Mychel Thompson  ,35,American  ,Mychel_Thompson .txt
Drew Edward Gordon  ,33,American  ,Drew_Gordon.txt
Jarrett Jack  ,39,American  ,Jarrett_Jack.txt
Lavoy Allen  ,34,American  ,Lavoy_Allen.txt
Jahlil Okafor,27,Nigerian-American,Jahlil_Okafor.txt
Anthony Edwards,22,American,Anthony_Edwards.txt
Nicholas William Calathes  ,34,Greek-American  ,Nick_Calathes.txt
Kevin Wayne Durant,35,American,Kevin_Durant.txt
Lamar Brandon Stevens  ,26,American  ,Lamar_Stevens.txt
Ronald Moore  ,35,American  ,Ronald_Moore.txt
Hamidou Diallo  ,25,American  ,Hamidou_Diallo.txt
Jabari Dominic Walker  ,21,American  ,Jabari_Walker.txt
Devontae Cacok  ,27,American  ,Devontae_Cacok.txt
Brandon Goodwin  ,28,American  ,Brandon_Goodwin.txt
Jordan Lee Crawford  ,35,American  ,Jordan_Crawford.txt
Michael Carter-Williams  ,32,American  ,Michael_Carter-Williams.txt
