championship,location,age,olympic_gold_medals
0.0,New Orleans,23.0,0.0
17.0,Los Angeles,27.0,0.0
3.0,Philadelphia,31.0,1.0
3.0,Philadelphia,35.0,1.0
3.0,Dallas,33.0,2.0
18.0,Boston,27.0,2.0
,Charlotte,27.0,0.0
8.0,San Francisco,29.0,0.0
3.0,Philadelphia,23.0,
2.0,New York,25.0,0.0
18.0,Boston,27.0,0.0
5.0,San Antonio,21.0,0.0
18.0,Boston,34.0,2.0
17.0,Los Angeles,26.0,0.0
2.0,Cleveland,36.0,1.0
3.0,Milwaukee,31.0,0.0
8.0,San Francisco,37.0,2.0
18.0,Boston,37.0,0.0
1.0,Miami,24.0,0.0
1.0,Miami,31.0,0.0
17.0,Los Angeles,32.0,3.0
8.0,San Francisco,31.0,0.0
4.0,downtown Detroit,23.0,0.0
17.0,Los Angeles,39.0,5.0
1.0,Miami,35.0,1.0
8.0,San Francisco,28.0,0.0
6.0,Chicago,28.0,1.0
3.0,Toronto,39.0,1.0
6.0,Chicago,62.0,4.0
0.0,Phoenix,28.0,2.0
8.0,San Francisco,,0.0
8.0,San Francisco,35.0,2.0
5.0,San Antonio,27.0,0.0
8.0,San Francisco,23.0,0.0
6.0,Chicago,26.0,0.0
1.0,Miami,24.0,0.0
2.0,New York,29.0,0.0
1.0,Orlando,,0.0
17.0,Los Angeles,37.0,2.0
5.0,San Antonio,38.0,2.0
5.0,San Antonio,33.0,1.0
1.0,Miami,25.0,1.0
2.0,New York,66.0,
3.0,Dallas,,
2.0,New York,,
2.0,New York,,0.0
3.0,Milwaukee,55.34520547945205,
4.0,downtown Detroit,,
0.0,Phoenix,51.0,
17.0,Los Angeles,36.0,1.0
4.0,downtown Detroit,63.0,0.0
3.0,Philadelphia,30.0,0.0
5.0,San Antonio,43.0,0.0
2.0,Houston,57.0,
5.0,San Antonio,36.0,0.0
2.0,New York,,
3.0,Indianapolis,,
0.0,Minneapolis,23.0,1.0
2.0,New York,,0.0
3.0,Indianapolis,,
2.0,Cleveland,,0.0
1.0,Oklahoma City,,
2.0,New York,52.0,0.0
0.0,Salt Lake City,53.0,
0.0,Phoenix,60.0,
2.0,New York,,0.0
18.0,Boston,28.0,0.0
6.0,Chicago,60.0,0.0
17.0,Los Angeles,-80.0,
18.0,Boston,44.0,
3.0,Dallas,51.0,0.0
1.0,Atlanta,25.0,0.0
18.0,Boston,21.0,0.0
2.0,New York,78.0,
2.0,Houston,72.0,0.0
18.0,Boston,80.0,
2.0,Brooklyn,32.0,0.0
3.0,Philadelphia,,
8.0,San Francisco,25.0,0.0
