nba_team,name,own_year
Detroit Pistons,Tom Gores,2015
Chicago Bulls,Jerry Reinsdorf,1981
New Orleans Pelicans,Gayle Benson,2018
Denver Nuggets,Stan Kroenke,2010
Washington Commanders,Joshua Jordan Harris,2023
New York Knicks,,
Miami Heat,Micky Arison,1995
Golden State Warriors,Joe Lacob,2010
Cleveland Cavaliers,Dan Gilbert,2005
Los Angeles Clippers,Steve Ballmer,2014
Orlando Magic,Daniel G. DeVos,1991
Dallas Mavericks,Mark Cuban,2005
Houston Rockets,Tilman Fertitta,2017
Brooklyn Nets,Joseph Tsai,2019
Oklahoma City Thunder,Clay Bennett,2006
Indiana Pacers,Herbert Simon,1983
