age,nba_team,name
,Detroit Pistons,Tom Gores
88.0,Chicago Bulls,Jerry Reinsdorf
77.0,New Orleans Pelicans,Gayle Benson
78.0,Denver Nuggets,Stan Kroenke
59.0,Washington Commanders,Joshua Jordan Harris
,New York Knicks,
76.0,Miami Heat,Micky Arison
,Golden State Warriors,Joe Lacob
68.0,Los Angeles Clippers,Steve Ballmer
,Orlando Magic,Daniel G. DeVos
67.0,Dallas Mavericks,Mark Cuban
66.0,Houston Rockets,Tilman Fertitta
61.0,Brooklyn Nets,Joseph Tsai
,Oklahoma City Thunder,Clay Bennett
,Indiana Pacers,Herbert Simon
