position,nationality,age
,American-born naturalized Azerbaijani,31.0
Backcourt,Bahamian,23.0
Point Guard,American-born naturalized American,27.0
Forward,Cameroonian-American,31.0
small forward,American-born naturalized American,35.0
Backcourt,American-born naturalized Australian,33.0
Forward,American-born naturalized American,27.0
Small forward,American-born naturalized American,27.0
Backcourt,Canadian,29.0
Forward,American-born naturalized American,23.0
Forward,British,25.0
Forward,American-born naturalized,50.0
Shooting guard,African-American,27.0
,French,21.0
Backcourt,American-born naturalized Azerbaijani,34.0
,American-born naturalized American,26.0
Forward,American,36.0
forward,Greek and Nigerian,31.0
Point Guard,American-born naturalized American,37.0
Center,Dominican-American,37.0
Backcourt,American-born naturalized American,24.0
Backcourt,American-born naturalized Hawaiian,31.0
power forward,American,32.0
Backcourt,American-Chinese,31.0
Backcourt,American-born naturalized American,23.0
Forward,American,39.0
Forward,American-born naturalized American,35.0
Forward,American-born naturalized American,28.0
Backcourt,American-born naturalized Azerbaijani,28.0
Backcourt,American,22.0
Backcourt,American-born naturalized Canadian,39.0
Point Guard,American-born naturalized African-American,62.0
Backcourt,American-born naturalized Azerbaijani,28.0
Power Forward,American-born naturalized American,35.0
Center,American-born naturalized American,27.0
Backcourt,Congolese,23.0
Backcourt,American-born naturalized American,26.0
Forward,Mexican-American,24.0
,American-born naturalized American,21.0
Backcourt,American-born naturalized American,29.0
Shooting guard,American-born naturalized Azerbaijani,37.0
Point Guard,American-born naturalized Azerbaijani,38.0
Shooting Guard,American-Venezuelan,53.0
Forward,American professional basketball player,33.0
Forward,American-born naturalized Nigerian,25.0
,American,37.0
,American-born naturalized American,66.0
,American-born naturalized American,55.34520547945205
Power forward,American-born naturalized Azerbaijani,34.0
,American-born naturalized American,51.0
Forward,American-born naturalized American,36.0
Point Guard,American-born naturalized African American,36.0
Backcourt,Serbian,31.0
Backcourt,American-born naturalized Azerbaijani,63.0
Power Forward,Nigerian-American,30.0
Backcourt,American-born naturalized Azerbaijani,43.0
Backcourt,American-born naturalized Norwegian,48.0
Backcourt,American-born naturalized American,65.875
Backcourt,American-born naturalized American,57.0
Power Forward,American-born naturalized American,36.0
Power forward,American-born naturalized American,60.583333333333336
,American,81.57
Backcourt,American-born naturalized American,53.0
Backcourt,American-born naturalized American,23.0
Defenceman,Canadian,74.0
Backcourt,Greek-American,34.0
Power forward-center,American-born naturalized Azerbaijani,52.0
small forward,American-born naturalized American,36.0
power forward,American-born naturalized American,53.0
Forward,American-born naturalized Israeli,40.0
Center,American-born naturalized American,60.0
Guard,American-born naturalized American,56.0
,American-born naturalized American,28.0
Backcourt,American-born naturalized American,37.0
Power forward,Slovenian,41.0
Backcourt,American-born naturalized Cameroonian,24.0
Backcourt,American-born naturalized Lebanese-American,60.0
,American-born naturalized Azerbaijani,27.0
Forward,American-born naturalized American,-80.0
Backcourt,American-born naturalized American,44.0
Center,Croatian,58.0
Backcourt,Greek-American,34.0
,American-born naturalized American,-66.0
Forward,American-born naturalized Haitian-American,27.0
Backcourt,American-born naturalized American,27.0
,American-born naturalized American,51.0
Shooting Guard,American-born naturalized American,25.0
Guard,American-born naturalized American,27.0
,American-born naturalized American,60.52
Forward,American-born naturalized American,21.0
,,78.0
Backcourt,American professional basketball coach and former player,72.0
,American-born naturalized American,80.0
Backcourt,American-born naturalized American,23.0
Backcourt,German,32.0
Power Forward,American,25.0
Center,American-born naturalized Jamaican,32.0
