founded_year,ownership,team_name
1946,Atlanta Spirit LLC,Atlanta Hawks
1946,Peter Guber of Mandalay Entertainment and his partner Joe Lacob,Golden State Warriors
1970,Tilman Fertitta,Houston Rockets
1967,Rick Carlisle,Indiana Pacers
1994,Steve Ballmer,Los Angeles Clippers
1946,Jeanie Buss,Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,Carnival Cruise Lines,Miami Heat
1968,"Wes Edens, Marc Lasry, and Jamie Dinan",Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,Tom Benson,New Orleans Pelicans
1946,Boston Basketball Partners L.L.C.,Boston Celtics
1946,Dolan,New York Knicks
1967,Oklahoma City-based ownership group,Seattle SuperSonics
1986,Richard DeVos,Orlando Magic
1946,Apollo Global Management,Philadelphia 76ers
1968,Mat Ishbia,Phoenix Suns
1970,Vulcan Inc.,Portland Trail Blazers
1983,Vivek Ranadivé,Sacramento Kings
1967,Peter M. Holt and a group of 22 investors,San Antonio Spurs
1995,Maple Leaf Sports & Entertainment (MLSE),Toronto Raptors
1974,"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",Utah Jazz
1967,Joseph Tsai,Brooklyn Nets
1963,Ted Leonsis through Monumental Sports & Entertainment,Washington Wizards
1988,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1966,Jerry Reinsdorf,Chicago Bulls
1970,George and Gordon Gund,Cleveland Cavaliers
2000,Miriam Adelson and Patrick Dumont,Dallas Mavericks
1967,Stan Kroenke,Denver Nuggets
1937,Tom Gores,Detroit Pistons
