city_name,state_name,team_name,name,city.id,id,player.id,team.id
dallas,Texas,Dallas Mavericks,Kyrie Irving,,,,
los angeles,California,Los Angeles Lakers,Earvin Johnson,,,,
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,,,,
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,,,,
miami,Florida,Miami Heat,Kevin Love,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,
new york city,New York,New York Knicks,Jalen Marquis Brunson,,,,
new york city,New York,New York Knicks,Kenneth 'Apple' Green,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,
san antonio,Texas,San Antonio Spurs,Chris Paul,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,,,,
