full_name,date_of_birth,nationality,sport,team,height_cm,weight_kg,career_start_year,individual_awards,file
Josepha Petrick Kemarre,ca . 1945 or ca . 1953,Indigenous Australian,,,,,,,Josepha_Petrick_Kemarre
John Crepps Wickliffe Beckham,"August 5, 1869",,,,,,,,J._C._W._Beckham
Hadji Ali,c. 1887 – 92,Egyptian,,,,,,,Hadji_Ali
Art Ross,"January 13, 1885",Canadian,ice hockey,,,,1905,,Art_Ross
"Richard Gale ""Dick"" Rifenburg","August 21, 1926",,American football,Detroit Lions,,,1950,,Dick_Rifenburg
Marshall Herff Applewhite,"May 17, 1931",American,,,,,,,Marshall_Applewhite
Christopher Gore,"September 21, 1758",,,,,,,,Christopher_Gore
Calvin McCarty,"November 2, 1984",Canadian,football,Edmonton Eskimos,,,,103rd Grey Cup,Calvin_McCarty
Sarnia,,Canadian,ice hockey,Sarnia Sting,,,,,Sarnia
Carlos Chagas,,Brazilian,,,,,1909,,Chagas_disease
Madonna,,American,,,,,,,True_Blue_(_Madonna_song_)
Hugh Foliot,c. 1155,,,,,,,,Hugh_Foliot
"Thomas ""Tommy"" Lawton",6 October 1919,English,football,,,,,,Tommy_Lawton
"Bradley Kent ""Brad"" Stevens","October 22, 1976",American,basketball,Boston Celtics,,,,,Brad_Stevens
Tristan,1878,British,Thoroughbred racing,,163,,1880,,Tristan_(_horse_)
Asahi,,,,,,,,,Japanese_battleship_Asahi
Tessa Noël,"August 28, 1958",French,,,,,,,Tessa_Noël
Stuart McCall,10 June 1964,Scottish,football,Bradford City,,,1982,,Stuart_McCall
Mariah Carey,,American,,,,,,,Charmbracelet
USS Illinois,,United States,,,,,,,USS_Illinois_(_BB_@-@_7_)
Clayton Edward Kershaw,"March 19, 1988",American,baseball,Los Angeles Dodgers,,,2008,"Cy Young Award, 2014 National League Most Valuable Player, Roberto Clemente Award, Branch Rickey Award",Clayton_Kershaw
Shawn Hunwick,,,,Blue Jackets,,,,,Saves_;_Sv_%
Rihanna,,Barbadian,,,,,,,Rockstar_101
"The invisible rail, Wallace's rail, or drummer rail (Habroptila wallacii)",,,,,33 to 40 cm (13-16 in),,,,Invisible_rail
Osbert de Bayeux,,English,,,,,,,Osbert_de_Bayeux
Brandon Ricardo Minor,"July 24, 1988",,American football,,,,2010,,Brandon_Minor
Ivan Nikolaevich Nazarov,1906 – 1957,,,,,,1941,,Nazarov_cyclization_reaction
"Max Rufus Mosley ","13 April 1940 ",,"Formula One ",,,,"1969 "," ",Max_Mosley
