name,nationality,age,team_name,location
andre jamal drummond,American,32,Philadelphia 76ers,Philadelphia
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
anthony marshon davis,American,32,Los Angeles Lakers,Los Angeles
austin tyler reaves,American,27,Los Angeles Lakers,Los Angeles
brandan keith wright,American,37,Houston Rockets,Houston
caleb martin,American,30,Philadelphia 76ers,Philadelphia
"chavano rainer ""buddy"" hield",Bahamian,33,Golden State Warriors,San Francisco
christopher emmanuel paul,American,40,San Antonio Spurs,San Antonio
darnell hillman,American,76,Golden State Warriors,San Francisco
derek grimm,American,51,Sacramento Kings,Sacramento
derrick chievous,American,58,Cleveland Cavaliers,Cleveland
devin armani booker,American,28,Phoenix Suns,Phoenix
draymond jamal green,American,35,Golden State Warriors,San Francisco
drew edward gordon,American,33,Philadelphia 76ers,Philadelphia
duncan mcbryde robinson,American,31,Miami Heat,Miami
eric johnson jones,American-Spanish,59,Utah Jazz,Salt Lake City
garfield smith,American,80,Boston Celtics,Boston
harrison bryce jordan barnes,American,33,San Antonio Spurs,San Antonio
jaime jaquez,Mexican-American,24,Miami Heat,Miami
jamal crawford,American,45,Brooklyn Nets,Brooklyn
jayson christopher tatum,American,27,Boston Celtics,Boston
jimmy butler,American,36,Miami Heat,Miami
joel hans embiid,Cameroonian-American,31,Philadelphia 76ers,Philadelphia
john harding lucas,American,72,Houston Rockets,Houston
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
jrue randall holiday,American,35,Boston Celtics,Boston
kevin wayne durant,American,37,Phoenix Suns,Phoenix
kevin wesley love,American,37,Miami Heat,Miami
kevon grant looney,American,29,Golden State Warriors,San Francisco
kobe bean bryant,American,47,Los Angeles Lakers,Los Angeles
kurt thomas,American,53,New York Knicks,New York City
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
kyrie andrew irving,American,33,Dallas Mavericks,Dallas
lamar brandon stevens,American,28,Memphis Grizzlies,Memphis
lavoy allen,American,36,Philadelphia 76ers,Philadelphia
lebron raymone james,American,40,Los Angeles Lakers,Los Angeles
lonzo anderson ball,American,28,Chicago Bulls,Chicago
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
miles julian simon,American,49,Phoenix Suns,Phoenix
paul clifton anthony george,American,35,Philadelphia 76ers,Philadelphia
rik smits,Dutch,59,Indiana Pacers,Indianapolis
shaquille rashaun o'neal,American,53,Boston Celtics,Boston
steve kerr,American,60,Golden State Warriors,San Francisco
trayce jackson-davis,American,25,Golden State Warriors,San Francisco
tyler christopher herro,American,25,Miami Heat,Miami
vernon maxwell,American,60,Dallas Mavericks,Dallas
victor wembanyama,French,21,San Antonio Spurs,San Antonio
zach collins,American,28,San Antonio Spurs,San Antonio
zachary thomas lavine,American,30,Chicago Bulls,Chicago
