name,college,team_name,gdp
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,
d'angelo russell,Ohio State,Los Angeles Lakers,
devin armani booker,Kentucky Wildcats,Phoenix Suns,362000
draymond jamal green,Michigan State University,Golden State Warriors,252200
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,
jalen marquis brunson,Villanova University,New York Knicks,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,
jayson christopher tatum,Duke University,Boston Celtics,
jimmy butler,Marquette University,Miami Heat,344.9
joel hans embiid,University of Kansas,Philadelphia 76ers,518.5
jonathan malangu kuminga,,Golden State Warriors,252200
jrue randall holiday,UCLA,Boston Celtics,
kevin wesley love,UCLA,Miami Heat,344.9
kyle forman anderson,UCLA,Golden State Warriors,252200
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lebron raymone james,,Los Angeles Lakers,
lonzo anderson ball,UCLA,Chicago Bulls,689000
"ogugua ""og"" anunoby",Indiana University,New York Knicks,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
trent tucker,University of Minnesota,Chicago Bulls,689000
tyler christopher herro,University of Kentucky,Miami Heat,344.9
vernon maxwell,University of Florida,Dallas Mavericks,
wardell stephen curry,Davidson,Golden State Warriors,252200
zach collins,Gonzaga Bulldogs,San Antonio Spurs,
zachary thomas lavine,UCLA,Chicago Bulls,689000
