university_name,rank,file
College of William and Mary,31,0955.txt
Knox College,75,0193.txt
Union College,41,0628.txt
Union University,15,0630.txt
Lander University,31,0200.txt
Wake Forest University,25,0806.txt
Tulane University,51,0626.txt
New York University,33,0347.txt
St. Louis University,86,0537.txt
Hollins University ,105,0149.txt
Williams College,1,0884.txt
Denison University,51,1001.txt
Rensselaer Polytechnic Institute,41,0434.txt
Georgetown University,21,0103.txt
Lawrence University,67,0204.txt
George Washington University,51,0104.txt
Virginia Commonwealth University,167,0799.txt
College of Mount St. Vincent,117,0943.txt
Wesleyan College,158,0826.txt
