university_name,rank,file
Wesleyan College,NAN,0826.txt
Lawrence University,NAN,0204.txt
Union College,NAN,0628.txt
Hollins University,NAN,0149.txt
Virginia Commonwealth University,NAN,0799.txt
College of William and Mary,NAN,0955.txt
Mount St. Vincent College,NAN,0943.txt
George Washington University,NAN,0104.txt
Williams College,NAN,0884.txt
Georgetown University,NAN,0103.txt
St. Louis University,NAN,0537.txt
Denison University,NAN,1001.txt
Wake Forest University,NAN,0806.txt
New York University,33,0347.txt
Knox College,NAN,0193.txt
Rensselaer Polytechnic Institute,NAN,0434.txt
Tulane University,NAN,0626.txt
Union University,NAN,0630.txt
