university_name,year_founded,setting
Elms College,1928,suburban
St. Scholastica,1912,suburban
Auburn University--Montgomery,1967,suburban
Monmouth University,1933,suburban
Southeastern University,1935,suburban
University of South Alabama,1963,suburban
University of Central Arkansas,1907,suburban
Lewis University ,1932,suburban
George Mason University,1972,suburban
Fairleigh Dickinson University,1942,suburban
High Point University,1924,Suburban
Harvey Mudd College,1955,suburban
North Carolina Wesleyan College,1956,suburban
Kennesaw State University,1963,suburban
New College of Florida,2001,suburban
Chestnut Hill College,1924,Suburban
Missouri Southern State University,1937,suburban
