name,position,city_name,population
Drew Gordon,power forward,Philadelphia,1603797
Lavoy Allen,center,Philadelphia,1603797
Dwayne Schintzius,center,San Antonio,1434625
Vernon Maxwell,shooting guard,Houston,2314157
Derrick Chievous,small forward,Houston,2314157
Fred Boyd,basketball player,Philadelphia,1603797
Steve Smith,basketball player,Miami,442241
Steve Kerr,head coach for the Golden State Warriors of the National Basketball Association (NBA),San Francisco,808988
John Lucas II,professional basketball player,Houston,2314157
Monti Davis,forward,Philadelphia,1603797
Trayce Jackson-Davis,power forward,San Francisco,808988
Andre Drummond,center,Philadelphia,1603797
Buddy Hield,guard,San Francisco,808988
Paul George,small forward,Philadelphia,1603797
Caleb Martin,small forward,Philadelphia,1603797
Andrew Wiggins,forward,San Francisco,808988
Max Fiedler,basketball,Philadelphia,1603797
Victor Wembanyama,center forward,San Antonio,1434625
Kevin Love,forward,Miami,442241
Tyler Herro,shooting guard,Miami,442241
Duncan Robinson,Guard,Miami,442241
Kyle Anderson,point guard,San Francisco,808988
Jimmy Butler,small forward,Miami,442241
Kevon Looney,forward/center,San Francisco,808988
Zachary Thomas LaVine,point guard,Chicago,2746388
Draymond Green,power forward,San Francisco,808988
Zach Collins,center,San Antonio,1434625
Lonzo Ball,Point Guard,Chicago,2746388
Jaime Jaquez Jr.,professional basketball player,Miami,442241
Harrison Barnes,forward,San Antonio,1434625
Bam Adebayo,power forward,Miami,442241
