university_name,academic_calendar,year_founded,file
Barton College,4-1-4-based,1902,0047.txt
Union University,4-1-4-based,1823,0630.txt
Massachusetts Maritime Academy,4-1-4-based,1891,0255.txt
Davis and Elkins College,4-1-4-based,1904,0997.txt
Hampshire College,4-1-4-based,1965,0128.txt
Oklahoma Baptist University,4-1-4-based,1910,0384.txt
Hastings College,4-1-4-based,1882,0137.txt
Williams College,4-1-4-based,1793,0884.txt
Converse College,4-1-4-based,1889,0975.txt
Hamline University,4-1-4-based,1854,0126.txt
Tabor College,4-1-4-based,1908,0574.txt
New College of Florida,4-1-4-based,2001,0341.txt
Bethel University,4-1-4-based,1871,0319.txt
