court_name,judge_name,hearing_year,judgment_year,file
Federal Court,Honourable Justice Jagot,2009,2009,09_570.txt
Western Australian Magistrates Court,Magistrate G N Calder,2009,2009,09_394.txt
Federal Court,Honourable Justice Finkelstein,2008,2008,08_1860.txt
Federal Court of Australia,Honourable Justice Besanko,2006,2006,06_758.txt
NAN, Honourable Justice Siopis,2008,2009,09_26.txt
NAN, Justice Besanko,2009,2009,09_1480.txt
NAN,Honourable Justice Siopis,2009,2009,09_484.txt
Federal Court of Australia,NAN,2009,2009,09_789.txt
NAN,Honourable Justice TRACEY,2008,2008,08_1879.txt
NAN,NAN,2008,2008,08_1016.txt
 Federal Court,Honourable Justice Foster, 2008,2009,09_980.txt
Federal Court,Honourable Justice Buchanan,2007,2007,07_479.txt
Federal Court,Honourable Justice Logan,2009,2009,09_1154.txt
 Federal Magistrate, the Honourable Justice Barker,2008,2009,09_841.txt
Federal Magistrates Court,NAN,2008,2008,09_217.txt
NAN,Justice Gilmour,2007,2007,07_2068.txt
Federal Court,Honourable Justice Heerey,2008,2008,08_1737.txt
Federal Court of Australia,CONTI J,2006,2006,06_1220.txt
Federal Court,Jagot J,2008,2009,09_902.txt
Federal Court of Australia,Honourable Justice Collier,2009,2009,09_1205.txt
 Federal Court,Honourable Justice Gordon,2009,2009,09_1122.txt
NAN,NAN,2009,2009,09_1391.txt
 High Court of Malaya,Honourable Justice Lindgren,2007,2007,07_961.txt
NAN,NAN,2008,2009,08_995.txt
"Seoul Central District Court, 3rd Bankruptcy Division, Korea",Stone J,2009,2009,09_372.txt
Supreme Court of Western Australia,Honourable Justice French, 2006,2006,06_1235.txt
 Federal Court of Australia, Justice Jacobson,2008,2009,09_516.txt
NAN,NAN,2009,2009,09_1399.txt
