name,team_name,city_name,state_name
anthony marshon davis,Los Angeles Lakers,Los Angeles,California
ausar xlnc thompson,Detroit Pistons,Detroit,Michigan
austin tyler reaves,Los Angeles Lakers,Los Angeles,California
cade parker cunningham,Detroit Pistons,Detroit,Michigan
caleb martin,Philadelphia 76ers,Philadelphia,Pennsylvania
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas
d'angelo russell,Los Angeles Lakers,Los Angeles,California
devin armani booker,Phoenix Suns,Phoenix,Arizona
duncan mcbryde robinson,Miami Heat,Miami,Florida
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
greg fillmore gregory paul fillmore,New York Knicks,New York City,New York
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas
isiah thomas,Detroit Pistons,Detroit,Michigan
jaden edward dhananjay ivey,Detroit Pistons,Detroit,Michigan
jaime jaquez,Miami Heat,Miami,Florida
jalen marquis brunson,New York Knicks,New York City,New York
jay vincent jay fletcher vincent,Los Angeles Lakers,Los Angeles,California
jayson christopher tatum,Boston Celtics,Boston,Massachusetts
jimmy butler,Miami Heat,Miami,Florida
joel hans embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
"kenneth ""apple"" green",New York Knicks,New York City,New York
kevin wesley love,Miami Heat,Miami,Florida
kobe bean bryant,Los Angeles Lakers,Los Angeles,California
kurt thomas,New York Knicks,New York City,New York
kyle forman anderson,Golden State Warriors,San Francisco,California
kyle terrell lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
kyrie andrew irving,Dallas Mavericks,Dallas,Texas
lamar brandon stevens,Memphis Grizzlies,Memphis,Tennessee
lebron raymone james,Los Angeles Lakers,Los Angeles,California
lonzo anderson ball,Chicago Bulls,Chicago,Illinois
max berning fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
"ogugua ""og"" anunoby",New York Knicks,New York City,New York
paul clifton anthony george,Philadelphia 76ers,Philadelphia,Pennsylvania
tim duncan,San Antonio Spurs,San Antonio,Texas
trent tucker,Chicago Bulls,Chicago,Illinois
tyler christopher herro,Miami Heat,Miami,Florida
vernon maxwell,Dallas Mavericks,Dallas,Texas
victor wembanyama,San Antonio Spurs,San Antonio,Texas
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
