name,team_name,city_name,state_name,city.id,id,player.id,team.id
anthony marshon davis,Los Angeles Lakers,Los Angeles,California,,,,
ausar xlnc thompson,Detroit Pistons,Detroit,,,,,
austin tyler reaves,Lakers,Los Angeles,California,,,,
cade parker cunningham,Detroit Pistons,Detroit,,,,,
caleb martin,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
"chavano rainer ""buddy"" hield",Sacramento Kings,Sacramento,California,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
d'angelo russell,Los Angeles Lakers,Los Angeles,California,,,,
devin armani booker,Phoenix Suns,Phoenix,Arizona,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin,,,,
greg fillmore gregory paul fillmore,New York Knicks,New York,New York,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
isiah thomas,Detroit Pistons,Detroit,,,,,
jaden edward dhananjay ivey,Detroit Pistons,Detroit,,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jalen marquis brunson,New York Knicks,New York,New York,,,,
jay vincent jay fletcher vincent,Mavericks,Dallas,,,,,
jayson christopher tatum,Celtics,Boston,Massachusetts,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
joel hans embiid,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
"kenneth ""apple"" green",New York Knicks,New York,New York,,,,
kevin wesley love,Miami Heat,Miami,Florida,,,,
kobe bean bryant,Los Angeles Lakers,Los Angeles,California,,,,
kurt thomas,Miami Heat,Miami,Florida,,,,
kyle forman anderson,San Antonio Spurs,San Antonio,Texas,,,,
kyle terrell lowry,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,,,,,
lamar brandon stevens,Memphis Grizzlies,Memphis,Tennessee,,,,
lebron raymone james,Lakers,Los Angeles,California,,,,
lonzo anderson ball,Pelicans,New Orleans,Louisiana,,,,
max berning fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
"ogugua ""og"" anunoby",New York Knicks,New York,New York,,,,
paul clifton anthony george,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
tim duncan,San Antonio Spurs,San Antonio,Texas,,,,
trent tucker,New York Knicks,New York,New York,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
vernon maxwell,Houston Rockets,Houston,Texas,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
