ownership,championship,founded_year
Atlanta Spirit LLC,1.0,1977
Bob Fitzgerald,7.0,1946
Tilman Fertitta,2.0,1967
Rick Carlisle,3.0,1967
Steve Ballmer,0.0,1970
Jeanie Buss,17.0,1946
Carnival Cruise Lines,6.0,1988
"Wes Edens, Marc Lasry and Jamie Dinan",3.0,1968
Boston Basketball Partners L.L.C.,18.0,1946
"Prior to the beginning of the 1949–50 season, the BAA merged with the National Basketball League to form the National Basketball Association which comprised 17 teams.",2.0,1946
Oklahoma City-based ownership group,1.0,1967
Apollo Global Management,3.0,1946
Mat Ishbia,0.0,1968
Vulcan Inc.,1.0,1970
Dyal Capital,1.0,1945
Peter M. Holt and a group of 22 investors,6.0,1967
Ryan Smith,0.0,1974
Since 2012,2.0,1967
Ted Leonsis,0.0,1961
Gabe Plotkin and Rick Schnall,,1988
Jerry Reinsdorf,6.0,1966
George and Gordon Gund,2.0,1970
Stan Kroenke,2.0,1967
Tom Gores,3.0,1937
