area,city_name,gdp
99025.0,Denver,
145.09,Portland,
46.9,San Francisco,
350.0,Philadelphia,
350.0,New Orleans,
,Chicago,689000000000.0
,Orlando,
286.0,Salt Lake City,
630.0,Toronto,
1341.0,Phoenix,36200000000.0
683.0,Washington,
48.4,Boston,
82.47,Cleveland,
640.4,Houston,
259.0,Sacramento,
142.87,Detroit,
324.0,Memphis,
312.0,Charlotte,
778.2,New York City,
598.63,Oklahoma City,
96.8,Milwaukee,10200000000.0
134.0,Atlanta,473000000000.0
950.0,Indianapolis,
385.8,Dallas,
465.4,San Antonio,
502.7,Los Angeles,1028573460000.0
59.0,Minneapolis,
,Miami,344900000000.0
24.0,Inglewood,
