founded_year,ownership,team_name
1977,Atlanta Spirit LLC,Atlanta Hawks
1946,Bob Fitzgerald,Golden State Warriors
1967,Tilman Fertitta,Houston Rockets
1967,Rick Carlisle,Indiana Pacers
1970,Steve Ballmer,Los Angeles Clippers
1946,Jeanie Buss,Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,Carnival Cruise Lines,Miami Heat
1968,"Wes Edens, Marc Lasry and Jamie Dinan",Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,Tom Benson,Pelicans
1946,Boston Basketball Partners L.L.C.,Boston Celtics
1946,"Prior to the beginning of the 1949–50 season, the BAA merged with the National Basketball League to form the National Basketball Association which comprised 17 teams.",New York Knicks
1967,Oklahoma City-based ownership group,Oklahoma City Thunder
1989,Kia America,Orlando Magic
1946,Apollo Global Management,Philadelphia 76ers
1968,Mat Ishbia,Phoenix Suns
1970,Vulcan Inc.,Portland Trail Blazers
1945,Dyal Capital,Sacramento Kings
1967,Peter M. Holt and a group of 22 investors,San Antonio Spurs
1995,Maple Leaf Sports & Entertainment (MLSE),Toronto Raptors
1974,Ryan Smith,Utah Jazz
1967,Since 2012,Brooklyn Nets
1961,Ted Leonsis,Washington Wizards
1988,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1966,Jerry Reinsdorf,Chicago Bulls
1970,George and Gordon Gund,Cleveland Cavaliers
2000,Miriam Adelson and Patrick Dumont,Dallas Mavericks
1967,Stan Kroenke,Denver Nuggets
1937,Tom Gores,Detroit Pistons
