name,position,team_name,founded_year,id,player.id,team.id
aaron williams,power forward and center,Utah Jazz,1974,,,
andre jamal drummond,Center,Philadelphia 76ers,1946,,,
andrew christian wiggins,Frontcourt,Golden State Warriors,1946,,,
anthony marshon davis,power forward and center,Los Angeles Lakers,1946,,,
austin tyler reaves,,Los Angeles Lakers,1946,,,
caleb martin,small forward,Philadelphia 76ers,1946,,,
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946,,,
christopher emmanuel paul,Point Guard,San Antonio Spurs,1967,,,
d'angelo russell,Backcourt,Los Angeles Lakers,1946,,,
devin armani booker,Backcourt,Phoenix Suns,1968,,,
draymond jamal green,power forward,Golden State Warriors,1946,,,
drew edward gordon,Frontcourt,Philadelphia 76ers,1946,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami Heat,1988,,,
erick strickland,,Dallas Mavericks,2000,,,
giannis sina ugo antetokounmpo,forward,Milwaukee Bucks,1968,,,
harrison bryce jordan barnes,Frontcourt,San Antonio Spurs,1967,,,
jalen marquis brunson,Frontcourt,New York Knicks,1946,,,
jaylen marselles brown,Shooting guard and small forward,Boston Celtics,1946,,,
jayson christopher tatum,Frontcourt,Boston Celtics,1946,,,
jimmy butler,Forward,Miami Heat,1988,,,
joel hans embiid,Frontcourt,Philadelphia 76ers,1946,,,
john harding lucas,,Houston Rockets,1971,,,
jrue randall holiday,Backcourt,Boston Celtics,1946,,,
kevin wesley love,Frontcourt,Miami Heat,1988,,,
kevon grant looney,Frontcourt,Golden State Warriors,1946,,,
kobe bean bryant,Shooting guard,Los Angeles Lakers,1946,,,
kyle forman anderson,Backcourt,Golden State Warriors,1946,,,
kyrie andrew irving,Point Guard,Dallas Mavericks,2000,,,
lebron raymone james,Frontcourt,Los Angeles Lakers,1946,,,
lonzo anderson ball,Point guard,Chicago Bulls,1966,,,
magic johnson,Backcourt,Los Angeles Lakers,1946,,,
"ogugua ""og"" anunoby",,New York Knicks,1946,,,
paul clifton anthony george,Small forward,Philadelphia 76ers,1946,,,
shaquille rashaun o'neal,Center,Sacramento Kings,1945,,,
wardell stephen curry,point guard,Golden State Warriors,1946,,,
zachary thomas lavine,Backcourt,Chicago Bulls,1966,,,
