name,position,team_name,founded_year
andrew christian wiggins,,Golden State Warriors,1946
anthony marshon davis,Frontcourt,Los Angeles Lakers,1946
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
d'angelo russell,Backcourt,Los Angeles Lakers,1946
darnell hillman,Frontcourt,Golden State Warriors,1946
devin armani booker,Backcourt,Phoenix Suns,1968
draymond jamal green,Frontcourt,Golden State Warriors,1946
duncan mcbryde robinson,,Miami Heat,1988
"edrice femi ""bam"" adebayo",,Miami Heat,1988
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee Bucks,1968
harrison bryce jordan barnes,,San Antonio Spurs,1967
jalen marquis brunson,,New York Knicks,1946
jaylen marselles brown,Backcourt,Boston Celtics,1946
jayson christopher tatum,,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
jrue randall holiday,,Boston Celtics,1946
"kenneth ""apple"" green",,New York Knicks,1946
kevin wayne durant,Frontcourt,Phoenix Suns,1968
kevin wesley love,,Miami Heat,1988
kevon grant looney,Frontcourt,Golden State Warriors,1946
kurt thomas,Frontcourt,New York Knicks,1946
kyle forman anderson,,Golden State Warriors,1946
kyrie andrew irving,,Dallas Mavericks,1980
lebron raymone james,,Los Angeles Lakers,1946
lonzo anderson ball,Backcourt,Chicago Bulls,1966
"ogugua ""og"" anunoby",,New York Knicks,1946
rik smits,Frontcourt,Indiana Pacers,1967
shaquille rashaun o'neal,Frontcourt,Boston Celtics,1946
wardell stephen curry,Backcourt,Golden State Warriors,1946
zach collins,,San Antonio Spurs,1967
zachary thomas lavine,,Chicago Bulls,1966
