name,position,college,draft_pick
Aaron Williams,Frontcourt,Xavier University,0.0
Anthony Avent,Frontcourt,Seton Hall University,15.0
Anthony Edwards,Backcourt,Georgia,1.0
Antonius Cleveland,,Southeast Missouri State University,0.0
Bill Hewitt,Frontcourt,University of Southern California,0.0
Brandon Goodwin,Backcourt,"UCF Knights, Florida Gulf Coast Eagles",0.0
Caleb Martin,Frontcourt,"NC State Wolfpack, Nevada Wolf Pack",0.0
Carrick Felix,Backcourt,Arizona State,33.0
D'Angelo Russell,Backcourt,Ohio State,2.0
Darnell Hillman,Frontcourt,San Jose State University,8.0
David Michineau,Backcourt,,0.0
Derrick Chievous,Frontcourt,University of Missouri,16.0
Devontae Cacok,,UNC Wilmington,0.0
Dick Rosenthal,Frontcourt,Notre Dame,1.0
Dick Surhoff,,"Long Island, John Marshall College",0.0
Don Anielak,,Southwest Missouri State University,26.0
Donta Hall,,Alabama,0.0
Donyell Marshall,,University of Connecticut,4.0
Erazem Lorbek,Frontcourt,Michigan State University,2.0
Erick Strickland,,University of Nebraska,0.0
Fred Boyd,,Oregon State University,5.0
Garfield Smith,,,10.0
Gregory Clinton Foster,Frontcourt,UTEP,35.0
Guy William Rodgers,,Temple University,1.0
Hamidou Diallo,,University of Kentucky,45.0
Isiah Thomas,Backcourt,Indiana Hoosiers,2.0
Jack Parr,,Kansas State University,10.0
Jahlil Okafor,,Duke,3.0
Jaime Jaquez Jr.,,UCLA,18.0
Jamal Crawford,,University of Michigan,8.0
James Patrick Walsh,Frontcourt,Stanford University,0.0
Jarrett Jack,,Georgia Tech,22.0
Jim Brasco,,New York University,1.0
Kermit Washington,Frontcourt,American University,5.0
Kostas Papanikolaou,Frontcourt,,48.0
Kurt Thomas,Frontcourt,Texas Christian University,0.0
Lavoy Allen,,Temple University,50.0
Mark Price,Backcourt,Georgia Tech,25.0
"Marvin ""Mickey"" Rottner",Backcourt,Loyola University in Chicago,0.0
Marvin Roberts,,Utah State University,45.0
Michael Carter-Williams,,Syracuse Orange,11.0
Mychel Thompson,Backcourt,Pepperdine University,0.0
Rick Hughes,,Thomas More College,0.0
Rik Smits,Frontcourt,Marist College,2.0
Rod Derline,Backcourt,Seattle University,169.0
Ronald Moore,Backcourt,Siena,
Shawn Christopher Respert,,Michigan State,8.0
Steve Kerr,Frontcourt,University of Arizona,50.0
Steve Smith,Backcourt,Michigan State,5.0
Tim Duncan,Frontcourt,Wake Forest University,1.0
Trayce Jackson-Davis,,Indiana Hoosiers,57.0
Trent Tucker,Backcourt,University of Minnesota,6.0
Vernon Maxwell,Backcourt,University of Florida,2.0
Victor Wembanyama,Frontcourt,,1.0
Walter Berry,Frontcourt,St. John's University,14.0
William Bedford,Frontcourt,Memphis State University,6.0
Zach Collins,,Gonzaga Bulldogs,10.0
