team_name,location,city_name,state_name,city.id,id,team.id
atlanta hawks,Atlanta,Atlanta,Georgia,,,
chicago bulls,Chicago,Chicago,Illinois,,,
cleveland cavaliers,Cleveland,Cleveland,Ohio,,,
dallas mavericks,Dallas,Dallas,Texas,,,
denver nuggets,Denver,Denver,Colorado,,,
detroit pistons,Detroit,Detroit,Michigan,,,
houston rockets,Houston,Houston,Texas,,,
indiana pacers,Indianapolis,Indianapolis,Indiana,,,
los angeles lakers,Los Angeles,Los Angeles,California,,,
miami heat,Miami,Miami,Florida,,,
milwaukee bucks,Milwaukee,Milwaukee,Wisconsin,,,
minnesota timberwolves,Minneapolis,Minneapolis,Minnesota,,,
new orleans pelicans,New Orleans,New Orleans,Louisiana,,,
oklahoma city thunder,Oklahoma City,Oklahoma City,Oklahoma,,,
philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania,,,
portland trail blazers,Portland,Portland,Oregon,,,
san antonio spurs,San Antonio,San Antonio,Texas,,,
toronto raptors,Toronto,Toronto,,,,
utah jazz,Salt Lake City,Salt Lake City,,,,
