document_id,company_id,ticker,company_name,filing_id,accession_number,filing_date,report_date,form_type,source_url,raw_html_path,canonical_text_path,corpus_views
000032019322000007,0000320193,AAPL,Apple Inc.,000032019322000007,0000320193-22-000007,2022-01-28,2021-12-25,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,source_data/SEC/raw_html/000032019322000007.html,source_data/SEC/filing/000032019322000007.txt,filing|filing_metrics|company
000032019322000059,0000320193,AAPL,Apple Inc.,000032019322000059,0000320193-22-000059,2022-04-29,2022-03-26,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,source_data/SEC/raw_html/000032019322000059.html,source_data/SEC/filing/000032019322000059.txt,filing|filing_metrics|company
000032019322000070,0000320193,AAPL,Apple Inc.,000032019322000070,0000320193-22-000070,2022-07-29,2022-06-25,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,source_data/SEC/raw_html/000032019322000070.html,source_data/SEC/filing/000032019322000070.txt,filing|filing_metrics|company
000032019322000108,0000320193,AAPL,Apple Inc.,000032019322000108,0000320193-22-000108,2022-10-28,2022-09-24,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,source_data/SEC/raw_html/000032019322000108.html,source_data/SEC/filing/000032019322000108.txt,filing|filing_metrics|company
000032019323000006,0000320193,AAPL,Apple Inc.,000032019323000006,0000320193-23-000006,2023-02-03,2022-12-31,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,source_data/SEC/raw_html/000032019323000006.html,source_data/SEC/filing/000032019323000006.txt,filing|filing_metrics|company
000032019323000064,0000320193,AAPL,Apple Inc.,000032019323000064,0000320193-23-000064,2023-05-05,2023-04-01,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,source_data/SEC/raw_html/000032019323000064.html,source_data/SEC/filing/000032019323000064.txt,filing|filing_metrics|company
000032019323000077,0000320193,AAPL,Apple Inc.,000032019323000077,0000320193-23-000077,2023-08-04,2023-07-01,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,source_data/SEC/raw_html/000032019323000077.html,source_data/SEC/filing/000032019323000077.txt,filing|filing_metrics|company
000032019323000106,0000320193,AAPL,Apple Inc.,000032019323000106,0000320193-23-000106,2023-11-03,2023-09-30,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,source_data/SEC/raw_html/000032019323000106.html,source_data/SEC/filing/000032019323000106.txt,filing|filing_metrics|company
000032019324000006,0000320193,AAPL,Apple Inc.,000032019324000006,0000320193-24-000006,2024-02-02,2023-12-30,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm,source_data/SEC/raw_html/000032019324000006.html,source_data/SEC/filing/000032019324000006.txt,filing|filing_metrics|company
000032019324000069,0000320193,AAPL,Apple Inc.,000032019324000069,0000320193-24-000069,2024-05-03,2024-03-30,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm,source_data/SEC/raw_html/000032019324000069.html,source_data/SEC/filing/000032019324000069.txt,filing|filing_metrics|company
