filing_id,company_id,ticker,company_name,form_type,filing_date,report_date,fiscal_year,fiscal_period,fiscal_quarter,sic,sic_description,state_of_incorporation,revenue_usd,revenue_usd_concept_id,revenue_usd_unit_id,revenue_usd_period_start,revenue_usd_period_end,assets_usd,assets_usd_concept_id,assets_usd_unit_id,assets_usd_period_start,assets_usd_period_end,liabilities_usd,liabilities_usd_concept_id,liabilities_usd_unit_id,liabilities_usd_period_start,liabilities_usd_period_end,net_income_usd,net_income_usd_concept_id,net_income_usd_unit_id,net_income_usd_period_start,net_income_usd_period_end,operating_cash_flow_usd,operating_cash_flow_usd_concept_id,operating_cash_flow_usd_unit_id,operating_cash_flow_usd_period_start,operating_cash_flow_usd_period_end,investing_cash_flow_usd,investing_cash_flow_usd_concept_id,investing_cash_flow_usd_unit_id,investing_cash_flow_usd_period_start,investing_cash_flow_usd_period_end,financing_cash_flow_usd,financing_cash_flow_usd_concept_id,financing_cash_flow_usd_unit_id,financing_cash_flow_usd_period_start,financing_cash_flow_usd_period_end,shares_outstanding,shares_outstanding_concept_id,shares_outstanding_unit_id,shares_outstanding_period_start,shares_outstanding_period_end,market_cap_usd,market_cap_usd_concept_id,market_cap_usd_unit_id,market_cap_usd_period_start,market_cap_usd_period_end
000032019322000007,0000320193,AAPL,Apple Inc.,10-Q,2022-01-28,2021-12-25,2022,Q1,1,3571,Electronic Computers,CA,123945000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-09-26,2021-12-25,381191000000,us-gaap:Assets,USD,,2021-12-25,309259000000,us-gaap:Liabilities,USD,,2021-12-25,34630000000,us-gaap:NetIncomeLoss,USD,2021-09-26,2021-12-25,46966000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-09-26,2021-12-25,-16106000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-09-26,2021-12-25,-28159000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-09-26,2021-12-25,16319441000,dei:EntityCommonStockSharesOutstanding,shares,,2022-01-14,,,USD,,
000032019322000059,0000320193,AAPL,Apple Inc.,10-Q,2022-04-29,2022-03-26,2022,Q2,2,3571,Electronic Computers,CA,221223000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-09-26,2022-03-26,350662000000,us-gaap:Assets,USD,,2022-03-26,283263000000,us-gaap:Liabilities,USD,,2022-03-26,59640000000,us-gaap:NetIncomeLoss,USD,2021-09-26,2022-03-26,75132000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-09-26,2022-03-26,-25371000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-09-26,2022-03-26,-56510000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-09-26,2022-03-26,16185181000,dei:EntityCommonStockSharesOutstanding,shares,,2022-04-15,,,USD,,
000032019322000070,0000320193,AAPL,Apple Inc.,10-Q,2022-07-29,2022-06-25,2022,Q3,3,3571,Electronic Computers,CA,304182000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-09-26,2022-06-25,336309000000,us-gaap:Assets,USD,,2022-06-25,278202000000,us-gaap:Liabilities,USD,,2022-06-25,79082000000,us-gaap:NetIncomeLoss,USD,2021-09-26,2022-06-25,98024000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-09-26,2022-06-25,-21137000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-09-26,2022-06-25,-83955000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-09-26,2022-06-25,16070752000,dei:EntityCommonStockSharesOutstanding,shares,,2022-07-15,,,USD,,
000032019322000108,0000320193,AAPL,Apple Inc.,10-K,2022-10-28,2022-09-24,2022,FY,4,3571,Electronic Computers,CA,394328000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-09-26,2022-09-24,352755000000,us-gaap:Assets,USD,,2022-09-24,302083000000,us-gaap:Liabilities,USD,,2022-09-24,99803000000,us-gaap:NetIncomeLoss,USD,2021-09-26,2022-09-24,122151000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-09-26,2022-09-24,-22354000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-09-26,2022-09-24,-110749000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-09-26,2022-09-24,15908118000,dei:EntityCommonStockSharesOutstanding,shares,,2022-10-14,,,USD,,
000032019323000006,0000320193,AAPL,Apple Inc.,10-Q,2023-02-03,2022-12-31,2023,Q1,1,3571,Electronic Computers,CA,117154000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-09-25,2022-12-31,346747000000,us-gaap:Assets,USD,,2022-12-31,290020000000,us-gaap:Liabilities,USD,,2022-12-31,29998000000,us-gaap:NetIncomeLoss,USD,2022-09-25,2022-12-31,34005000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-09-25,2022-12-31,-1445000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-09-25,2022-12-31,-35563000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-09-25,2022-12-31,15821946000,dei:EntityCommonStockSharesOutstanding,shares,,2023-01-20,,,USD,,
000032019323000064,0000320193,AAPL,Apple Inc.,10-Q,2023-05-05,2023-04-01,2023,Q2,2,3571,Electronic Computers,CA,211990000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-09-25,2023-04-01,332160000000,us-gaap:Assets,USD,,2023-04-01,270002000000,us-gaap:Liabilities,USD,,2023-04-01,54158000000,us-gaap:NetIncomeLoss,USD,2022-09-25,2023-04-01,62565000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-09-25,2023-04-01,874000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-09-25,2023-04-01,-61287000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-09-25,2023-04-01,15728702000,dei:EntityCommonStockSharesOutstanding,shares,,2023-04-21,,,USD,,
000032019323000077,0000320193,AAPL,Apple Inc.,10-Q,2023-08-04,2023-07-01,2023,Q3,3,3571,Electronic Computers,CA,293787000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-09-25,2023-07-01,335038000000,us-gaap:Assets,USD,,2023-07-01,274764000000,us-gaap:Liabilities,USD,,2023-07-01,74039000000,us-gaap:NetIncomeLoss,USD,2022-09-25,2023-07-01,88945000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-09-25,2023-07-01,1311000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-09-25,2023-07-01,-85335000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-09-25,2023-07-01,15634232000,dei:EntityCommonStockSharesOutstanding,shares,,2023-07-21,,,USD,,
000032019323000106,0000320193,AAPL,Apple Inc.,10-K,2023-11-03,2023-09-30,2023,FY,4,3571,Electronic Computers,CA,383285000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-09-25,2023-09-30,352583000000,us-gaap:Assets,USD,,2023-09-30,290437000000,us-gaap:Liabilities,USD,,2023-09-30,96995000000,us-gaap:NetIncomeLoss,USD,2022-09-25,2023-09-30,110543000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-09-25,2023-09-30,3705000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-09-25,2023-09-30,-108488000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-09-25,2023-09-30,15552752000,dei:EntityCommonStockSharesOutstanding,shares,,2023-10-20,,,USD,,
000032019324000006,0000320193,AAPL,Apple Inc.,10-Q,2024-02-02,2023-12-30,2024,Q1,1,3571,Electronic Computers,CA,119575000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-10-01,2023-12-30,353514000000,us-gaap:Assets,USD,,2023-12-30,279414000000,us-gaap:Liabilities,USD,,2023-12-30,33916000000,us-gaap:NetIncomeLoss,USD,2023-10-01,2023-12-30,39895000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-10-01,2023-12-30,1927000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-10-01,2023-12-30,-30585000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-10-01,2023-12-30,15441881000,dei:EntityCommonStockSharesOutstanding,shares,,2024-01-19,,,USD,,
000032019324000069,0000320193,AAPL,Apple Inc.,10-Q,2024-05-03,2024-03-30,2024,Q2,2,3571,Electronic Computers,CA,210328000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-10-01,2024-03-30,337411000000,us-gaap:Assets,USD,,2024-03-30,263217000000,us-gaap:Liabilities,USD,,2024-03-30,57552000000,us-gaap:NetIncomeLoss,USD,2023-10-01,2024-03-30,62585000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-10-01,2024-03-30,1617000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-10-01,2024-03-30,-61018000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-10-01,2024-03-30,15334082000,dei:EntityCommonStockSharesOutstanding,shares,,2024-04-19,,,USD,,
