name,nationality,age,team_name,location
andre jamal drummond,American,32,Philadelphia 76ers,Philadelphia
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
caleb martin,American,30,Philadelphia 76ers,Philadelphia
"chavano rainer ""buddy"" hield",Bahamian,33,Golden State Warriors,San Francisco
dan anderson,American,74,Portland Trail Blazers,Portland
darnell hillman,American,76,Golden State Warriors,San Francisco
derek grimm,American,51,Sacramento Kings,Sacramento
duncan mcbryde robinson,American,31,Miami Heat,Miami
"edrice femi ""bam"" adebayo",American,28,Miami Heat,Miami
eric johnson jones,American-Spanish,59,Utah Jazz,Salt Lake City
gregory clinton foster,American,57,Indiana Pacers,Indianapolis
jabari dominic walker,American,23,Portland Trail Blazers,Portland
jaime jaquez,Mexican-American,24,Miami Heat,Miami
john harding lucas,American,72,Houston Rockets,Houston
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
kevin wayne durant,American,37,Phoenix Suns,Phoenix
kevin wesley love,American,37,Miami Heat,Miami
kevon grant looney,American,29,Golden State Warriors,San Francisco
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
lavoy allen,American,36,Philadelphia 76ers,Philadelphia
lonzo anderson ball,American,28,Chicago Bulls,Chicago
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
miles julian simon,American,49,Phoenix Suns,Phoenix
"monti davis damon william ""monti"" davis",American,67,Dallas Mavericks,Dallas
rik smits,Dutch,59,Indiana Pacers,Indianapolis
steve kerr,American,60,Golden State Warriors,San Francisco
trayce jackson-davis,American,25,Golden State Warriors,San Francisco
tyler christopher herro,American,25,Miami Heat,Miami
vernon maxwell,American,60,Dallas Mavericks,Dallas
zachary thomas lavine,American,30,Chicago Bulls,Chicago
