name,position,city_name,population
anthony edwards,Backcourt,Minneapolis,429954
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
ausar xlnc thompson,,Detroit,"639,111"
austin tyler reaves,,Los Angeles,"3,820,914"
cade parker cunningham,,Detroit,"639,111"
d'angelo russell,Backcourt,Los Angeles,"3,820,914"
duncan mcbryde robinson,,Miami,442241
"edrice femi ""bam"" adebayo",,Miami,442241
jabari dominic walker,,Portland,"652,503"
jaden edward dhananjay ivey,,Detroit,"639,111"
jaime jaquez,,Miami,442241
jalen marquis brunson,,New York City,8258035
jaylen marselles brown,Backcourt,Boston,675647
jayson christopher tatum,,Boston,675647
kyle forman anderson,,San Francisco,808988
lamar brandon stevens,,Memphis,633104
"ogugua ""og"" anunoby",,New York City,8258035
tyler christopher herro,Backcourt,Miami,442241
