name,position,city_name,population,city.id,id,player.id,team.id
anthony edwards,shooting guard,,0.0,,,,
anthony marshon davis,power forward and center,Los Angeles,3820914.0,,,,
ausar xlnc thompson,forward/guard,,0.0,,,,
austin tyler reaves,guard,Los Angeles,3820914.0,,,,
cade parker cunningham,point guard,,0.0,,,,
d'angelo russell,point guard,Los Angeles,3820914.0,,,,
duncan mcbryde robinson,point guard,,0.0,,,,
"edrice femi ""bam"" adebayo",power forward,,0.0,,,,
jabari dominic walker,PF,,0.0,,,,
jaden edward dhananjay ivey,guard,,0.0,,,,
jaime jaquez,basketball player,,0.0,,,,
jalen marquis brunson,point guard,New York City,8258035.0,,,,
jaylen marselles brown,shooting guard / small forward,,0.0,,,,
jayson christopher tatum,small forward,,0.0,,,,
kyle forman anderson,point guard,,0.0,,,,
lamar brandon stevens,forward,,0.0,,,,
"ogugua ""og"" anunoby",forward/defender,New York City,8258035.0,,,,
tyler christopher herro,shooting guard,,0.0,,,,
