name,position,city_name,population,city.id,id,player.id,team.id
andrew christian wiggins,Frontcourt,San Francisco,808988.0,,,,
anthony edwards,Shooting Guard,Minneapolis,429954.0,,,,
anthony marshon davis,power forward,Los Angeles,3792621.0,,,,
austin tyler reaves,,Los Angeles,3792621.0,,,,
"chavano rainer ""buddy"" hield",Backcourt,San Francisco,808988.0,,,,
devin armani booker,Backcourt,Phoenix,1662607.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,forward and sometimes described as a point forward,Milwaukee,577222.0,,,,
jaime jaquez,Forward,Miami,442241.0,,,,
jalen marquis brunson,Point Guard,Dallas,1304379.0,,,,
jaylen marselles brown,shooting guard,Boston,675647.0,,,,
jayson christopher tatum,Frontcourt,Boston,675647.0,,,,
jonathan malangu kuminga,Small Forward,San Francisco,808988.0,,,,
lonzo anderson ball,point guard,Chicago,2746388.0,,,,
trayce jackson-davis,Forward,San Francisco,808988.0,,,,
tyler christopher herro,point guard,Miami,442241.0,,,,
victor wembanyama,Frontcourt,San Antonio,2608988.0,,,,
zachary thomas lavine,Backcourt,Chicago,2746388.0,,,,
