name,position,city_name,population
andrew christian wiggins,,San Francisco,808988
anthony edwards,Backcourt,Minneapolis,429954
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
austin tyler reaves,,Los Angeles,"3,820,914"
"chavano rainer ""buddy"" hield",,San Francisco,808988
devin armani booker,Backcourt,Phoenix,1662607
duncan mcbryde robinson,,Miami,442241
"edrice femi ""bam"" adebayo",,Miami,442241
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee,"577,222"
jaime jaquez,,Miami,442241
jalen marquis brunson,,New York City,8258035
jaylen marselles brown,Backcourt,Boston,675647
jayson christopher tatum,,Boston,675647
jonathan malangu kuminga,Frontcourt,San Francisco,808988
lonzo anderson ball,Backcourt,Chicago,2746388
trayce jackson-davis,,San Francisco,808988
tyler christopher herro,Backcourt,Miami,442241
victor wembanyama,Frontcourt,San Antonio,1434625
zachary thomas lavine,,Chicago,2746388
