name,draft_pick,college,team_name,id,player.id,team.id
andrew christian wiggins,1,University of Kansas,Golden State Warriors,,,
anthony edwards,1,University of Georgia,Minnesota Timberwolves,,,
ausar xlnc thompson,fifth overall by the Pistons in 2023 NBA draft,,Detroit Pistons,,,
cade parker cunningham,No. 1 pick,,Detroit Pistons,,,
caleb martin,undrafted player in the 2019 NBA draft,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers,,,
"chavano rainer ""buddy"" hield",second overall in the 2020 NBA draft,,Sacramento Kings,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,second overall in the 2015 NBA draft by the Lakers,Ohio State,Los Angeles Lakers,,,
dan anderson,2nd pick of the sixth round of the 1974 NBA draft,,Portland Trail Blazers,,,
darnell hillman,8th pick overall,San Jose State University,Indiana Pacers,,,
devin armani booker,13,Kentucky Wildcats,Phoenix Suns,,,
draymond jamal green,35,Michigan State Spartans,Golden State Warriors,,,
"edrice femi ""bam"" adebayo",14th pick,,Miami Heat,,,
giannis sina ugo antetokounmpo,15,,Milwaukee Bucks,,,
harrison bryce jordan barnes,7,University of North Carolina at Chapel Hill,San Antonio Spurs,,,
isiah thomas,2,Indiana University,Detroit Pistons,,,
jabari dominic walker,57,Colorado Buffaloes,Portland Trail Blazers,,,
jaime jaquez,18th overall pick,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,New York Knicks,,,
jay vincent jay fletcher vincent,24th pick,,Mavericks,,,
jaylen marselles brown,3,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,No. 3 overall,,Celtics,,,
jimmy butler,30,Marquette University,Miami Heat,,,
joel hans embiid,third overall by the 76ers,,Philadelphia 76ers,,,
jonathan malangu kuminga,7,,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
"kenneth ""apple"" green",21,,New York Knicks,,,
kevin wesley love,fifth overall by the Memphis Grizzlies,UCLA Bruins,Miami Heat,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kobe bean bryant,13th pick,,Los Angeles Lakers,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24,Villanova Wildcats,Philadelphia 76ers,,,
kyrie andrew irving,17,Duke University,Dallas Mavericks,,,
lebron raymone james,first overall pick of the 2003 NBA draft,,Lakers,,,
lonzo anderson ball,2,UCLA Bruins,Pelicans,,,
paul clifton anthony george,10th overall pick of the 2010 NBA draft,Fresno State,Philadelphia 76ers,,,
rik smits,2,Marist College,Indiana Pacers,,,
trent tucker,6,University of Minnesota,New York Knicks,,,
tyler christopher herro,13th overall pick in the 2019 NBA draft,Kentucky,Miami Heat,,,
vernon maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets,,,
victor wembanyama,1,,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
