ownership,championship,founded_year,team_name,id,team.id
Atlanta Spirit LLC,1.0,1946,atlanta hawks,,
Boston Basketball Partners L.L.C.,18.0,1946,boston celtics,,
Joseph Tsai,2.0,1967,brooklyn nets,,
Gabe Plotkin and Rick Schnall,,1988,charlotte hornets,,
Jerry Reinsdorf,6.0,1966,chicago bulls,,
George and Gordon Gund,2.0,1970,cleveland cavaliers,,
Stan Kroenke,2023.0,1967,denver nuggets,,
Tom Gores,4.0,1937,detroit pistons,,
Peter Guber of Mandalay Entertainment and his partner Joe Lacob,8.0,1946,golden state warriors,,
Tilman Fertitta,2.0,1970,houston rockets,,
Rick Carlisle,3.0,1967,indiana pacers,,
Jeanie Buss,17.0,1946,los angeles lakers,,
Carnival Cruise Lines,1.0,1988,miami heat,,
"Wes Edens, Marc Lasry, and Jamie Dinan",3.0,1968,milwaukee bucks,,
Dolan,2.0,1946,new york knicks,,
Apollo Global Management,3.0,1946,philadelphia 76ers,,
Mat Ishbia,0.0,1968,phoenix suns,,
Vulcan Inc.,1.0,1970,portland trail blazers,,
Vivek Ranadivé,1.0,1983,sacramento kings,,
Peter M. Holt and a group of 22 investors,5.0,1967,san antonio spurs,,
"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",0.0,1974,utah jazz,,
Ted Leonsis through Monumental Sports & Entertainment,0.0,1963,washington wizards,,
